question,answer_text,answer_aliases
Name the last US president to meet the leader of Cuba before Barack Obama did in 2015?,Eisenhower Dwight,dwight eisenhauer|dwight eisenhower|dwight eisienhower|dwight d eisenhower|general dwight david eisenhower|general eisenhower|eisenhower dwight|d eisenhower|eisenhower|david d eisenhower|d d eisenhower|34th president of united states|general of army dwight eisenhower|dwight e eisenhower|dweight eisenhower|ike nickname|dwight eisenhour|dwight david eisenhower|health issues of dwight d eisenhower|david jacob eisenhower|david dwight eisenhower|eisehower|eishenhower|ike eisenhower|dynamic conservatism|general dwight eisenhower|president dwight d eisenhower|president dwight eisenhower|president eisenhower|Health issues of Dwight D. Eisenhower|D. D. Eisenhower|34th President of the United States|President Dwight D. Eisenhower|Ike (nickname)|Dwight D. Eisenhower|D. Eisenhower|David D. Eisenhower|General of the Army Dwight Eisenhower
Who did Princess Anne marry in 1992?,Sir Timothy Laurence,sir timothy laurence|timothy laurence|tim laurence
What was the Paramount Film Company originally called?,Raleigh Studios,famous players film company|raleigh studios|famous players|celebrated players film corporation|The Famous Players
Which British monarch was nicknamed ‘The Sailor King’?,William IV (disambiguation),william iv disambiguation|william iv|william 4|wilhelm iv|William IV (disambiguation)
What nationality was 19th Century author Hans Christian Anderson?,Danish,danish disambiguation|danish|Danish (disambiguation)
"Held at Max Yasgurs 600 acre dairy farm, what event, which opened on Aug 15, 1969, was billed as An Aquarian Exposition: 3 Days of Peace & Music?",Woodstock Music and Art Fair,woodstock music festival|woodstock movie|woodstock music and art fair|woodstock 1969|woodstock art festival|woodstock music and arts fair|woodstock music art fair|woodstock|aquarian exposition|woodstock music and art festival|woodstock festival|Woodstock (music festival)|An Aquarian Exposition|Woodstock Music & Art Fair|The Woodstock|Woodstock (festival)
Two counties in the Irish province of Munster begin with the letter C. One is Cork. Name the other.,CLARE,clare at water tower|clare water tower|clare|The Clare|The Clare at Water Tower|The Clare @ Water Tower
What is the largest natural lake in Wales,Lake Bala,bala lake|llyn tegid|lake bala
The A23 road connects London to which coastal resort in East Sussex?,Brighthelmstone,"brighthelmstone|brighton borough council|county borough of brighton|brighton music|brighton uk|brighton england|brighton|un locode gbbsh|brighton east sussex|brighton sussex|brighton ferry|mayor of brighton|UN/LOCODE:GBBSH|Brighton, UK|Brighton, Sussex|Brighton, East Sussex|Brighton, England"
"""From which Bob Dylan song does the following come: """"Now you don't talk so loud, now you don't seem so proud about havin' to be scrounging for your next meal""""?""",Like a rolling stone,like rolling stone rolling stones song|like rolling stone|Like a rolling stone|'LIKE A ROLLING STONE'|Like a Rolling Stone (The Rolling Stones song)
Which fruit can go in the middle of the word aped to make a new word?,Pear (fruit),🍐|culture of pear|pyrus|pearwood|pear tree|pear juice|pear|pear fruit|Pear (fruit)
Which sought-after item was situated in the kingdom of Colchis?,Golden Fleece (disambiguation),golden fleece|golden fleece disambiguation|Golden Fleece (disambiguation)|The Golden Fleece
Where exactly is the tallest habitable building located in the UK? It is 50 stories high with a height of 235 metres (771 feet) and was completed in 1991?,"Canary Wharf, London","canary wharf|canary wharf london|canary warf|Canary Wharf, London"
"Used in cooking, agar-agar is a gelatin made from what?",Macroalgal,marine algae|sea weeds|seaweed|seaweeds|macroalgae|macroalgal|sea weed
Who was named the best player at Euro 2012 by UEFA ?,Andrés Iniesta Luján,andres iniesta lujan|andrés iniesta luján|andrés iniesta lujan|andrés iniesta|andres iniesta|(Andres) INIESTA
Which company was built into a world-wide organisation by Ray Kroc?,Mackey D's,mcdonalds com|mchappy day|mckinley mac|der schotte|mcdonald s|mcd s|mcdonald s restaraunt|mcdonalds corporation|micky ds|mcdonald s hamburgers|mddonalds|list of assets owned by mcdonald s|global impact of mcdonald s|salads plus|maccas|macky d|macdonalds|criticism of mcdonald s|yum chums|mcdonalds s|mcdonald s drive in|micky d s|we love to see you smile|mcdonald s corp|macky d s|aboutmcdonalds com|mcdonalds|mcdonald s restaurant|mcd|mackey d s|macdonald s|mcdonalds restaurants|mc donalds|mcdonalds corp|macdoh|hankook mcdonald s|macca s|mickey d s|mickey d|mcdonald s archive 1|criticisms of mcdonald s|speedee|mac donalds|mankdonalds|mcdonald s singapore|qscv|placcy d s|mcdankee s|mcdonals|mcdo|mcmichigan com|mcdonald s corporation|maccy d s|mcdonald s restaurants|double beef and bacon|mc donald s|Mackey D's|McD's|McDonald’s|Mc Donald's|McDonald's Hamburgers|Mcdonald's Corp.|Mickey-D's|McDonald's restaurants|McDonalds's|McDonald's/Archive 1|Criticism of McDonald's|The McDonald's Corporation|MacDonald's|McDonald's|Aboutmcdonalds.com|McDankee's|List of assets owned by McDonald's|McDonald's Restaurant|McDonald's Corporation|McDonald's Restaraunt|McDonald's Singapore|Global impact of McDonald's|McDonalds.com|Placcy D's|Hankook McDonald's|McDonald's Corp|McDonald’s Corporation|Placcy-D's|Macca's|McDonald's Drive-In|Macky d's|Mc.donalds|Maccy d's|Criticisms of McDonald's|Micky D's|Mackey-D's|McDonald/'s Corporation|Mickey D's|Mcmichigan.com
"Perhaps foreshadowing recent events in Ukraine, over what region of the Southern Caucasus did Russia and Georgia go to war in 2008?",Tskhinvali region,republic of south ossetia|economy of south ossetia|protestantism in south ossetia|respublikæ xussar iryston|s ossetia|geography of south ossetia|languages of south ossetia|protestants in south ossetia|culture of south ossetia|list of islands of south ossetia|south osettia|communications in south ossetia|south osetia|south ossettia|iryston xussar respublika|demographics of south ossetia|history of south ossetia|south ossetian|tskhinvali region|south ossetia|ethnic groups in south ossetia|respublika yuzhnaya osetiya|list of universities in south ossetia|south ossetian republic|south ossetia region of georgia|climate of south ossetia|xussar iryston|samkhreti oseti|politics of south ossetia|S. Ossetia|Iryston (Xussar Respublika)|South Ossetia (Region of Georgia)
Which country was the birthplace of Henry V111’s first wife Catherine Of Aragon ?,Islands of Spain,el reino de españa|iso 3166 1 es|kingdom of spains|reino de espana|regne d espanha|espagna|mountains of spain|kingdom of spain|name of spain|etymology of spain|regne d espanya|spanish kingdom|espainiako erresuma|reino de españa|espanya|espańa|spanish society|islands of spain|spain|spane|espainia|españa|espana|el reino de espana|Kingdom of the Spains|The Spanish Society|Regne d'Espanya|The kingdom of Spain|Regne d'Espanha|ISO 3166-1:ES
What type of animal was Bambi's friend Flower?,Wood pussy,mephitinae|skunk spray|mephitidae|wood pussy|skunk|chingue|skunks|a Skunk
"In Only Fools And Horses, Rodney Trotter shares his middle name with which London football club?",Charlton (disambiguation),charlton|charlton disambiguation|Charlton (disambiguation)
Who played the role of George Carter in The Sweeney?,Dennis Waterman,denis waterman|dennis waterman
"Which Frenchman, a football administrator and head of FIFA from 1921 to1954 is regarded as the founder of the football World Cup?",Jules Rimet,jules rimet
"Because he held the earth on his shoulders, for what Greek figure did Gerardus Mercator name his book of maps?",Atlases,atlas book|atlases|atlas geography|atlas cartography|atlas|Atlas (cartography)|Atlas (geography)|The Atlases|Atlas (book)|Atlas the book
Which sauce made from ham drippings and coffee and seen in the cuisine of the Southern United States gets its name from its appearance like that of a certain body organ?,Redeye gravy,redeye gravy|red eye gravy|Red-eye gravy
In which part of the human body can you find the Malleus or Hammer bone ?,THE EAR,ucho|ucho film|ear|THE EAR|Ucho (film)
Who was the Georgia Peach?,"Cobb, Ty","tyrus raymond cobb|cobb ty|ty cobb|tyrus cobb|georgia peach|Cobb, Ty|The Georgia Peach"
Matt Busby played for Manchester City from 1928 to 1936. Which club did he play for from 1936 to 1941?,Liverpudlian,"liverpool england|liverpool britain|liverpool borough|county borough of liverpool|liverpool|liverpool uk|liverpool u k|liverpool archive 1|scouseland|liverpool merseyside|liverpudlians|metropolitan borough of liverpool|l pool|lerpwl|landmarks in liverpool|liverpudlian|weather in liverpool|Liverpool, UK|Liverpool (borough)|Liverpool, Britain|The weather in Liverpool|Liverpool (England)|Liverpool/Archive 1|Liverpool, Merseyside|Liverpool, England|L'POOL|Liverpool, U.K."
"What 1989 best picture Oscar winning movie, based on a play by Alfred Uhry, and co-starring Morgan Freeman, gave Jessica Tandy, at age 80, the award for Best Actress, the oldest winner in history?",Miss Daisy,driving ms daisy|miss daisy|driving miss daisy film|driving miss daisy|Driving Ms. Daisy|Driving Miss Daisy (film)
"""Which boxer famously said,"""" If I can't beat this bum take my name off the record books?""""""",Rocco Marchegiano,"rocco francis marchegiano|rocky marciano|brockton bomber|marciano rocky|brockton blockbuster|rocco marchegiano|The Brockton Blockbuster|Marciano, Rocky|The Brockton Bomber"
Which ‘P’ describes the chasing pack in a cycling race?,Pelaton,pelaton|mass sprint|peleton|peloton
On which British holiday did the 2004 tsunami occur?,Second Christmas Day,boxing day|second day of christmas|second christmas day|annandagen|day after christmas|box day|day of goodwill|christmas box|day of good will|Boxing-day
The 2014 'Bendgate' controversy/publicity concerned version 6 of which famous product?,Bendgate,apple iphone 6|iphone 6|bend gate|bendgate|iphone6|i phone 6 plus|iphone 6 plus|IPhone 6+|Bend-gate
What is the 3rd largest car rental company in the United States?,The alamo,"gonzales company of mounted volunteers|battle of alamo|gonzales ranging company|gonzales ranging company of mounted volunteers|gonzales mounted rangers|alamo battle|immortal 32|battle of el alamo|alamo|remember alamo|fall of alamo|The alamo|Remember the alamo|Battle of the alamo|Remember the alamo!|Alamo, the|Fall of the Alamo|The battle of the alamo|Battle of the Alamo, The|Alamo, Battle"
Who was the first African American holder of the world heavyweight boxing title?,Jack Johnson,"johnson jack|jack johnson|jack johnson disambiguation|jack johnson american football|jack johnson footballer|Jack Johnson (disambiguation)|Jack Johnson (footballer)|Jack Johnson (American football)|Johnson, Jack"
"From which country do French fries originate? France, Belgium or Switzerland?",ISO 3166-1:CH,der schweiz|switzeland|confederation helvetia|confederatio helvetica|swissland|switzerland information|confederation suisse|switserland|confédération suisse|swizterland|confederation of helvatia|swizerland|svizzera|confederation helvetica|land of switzers|suiza|confederaziun svizra|schweiz|etymology of switzerland|die schweiz|suisse|confederazione svizzera|swiss|svizra|switzerland|schweitz|swiss confederation|switz|svissland|schwitzerland|environmental integrity group|land of swiss|schweizerische eidgenossenschaft|swissenergy|confœderatio helvetica|confoederatio helvetica|switzer land|švýcarsko|swiss confederated states|iso 3166 1 ch|ISO 3166-1:CH|Land of the Switzers|Land of the Swiss
"""What Latin expression means """"Seize the Day""""?""",Carpe diem quam minimum credula postero,carpe diem|carpe diem quam minimum credula postero|sieze moment|seize moment|catch day|Catch the day|Seize the moment|Sieze the moment
"Which film about a submarine had as one of its stars Denzil Washington, whose character had violent disagreements with his Captain played by Gene Hackman?",'CRIMSON TIDE',crimson tide|crimson tide disambiguation|'CRIMSON TIDE'|The Crimson Tide|Crimson Tide (disambiguation)
Which was the first commercial jet airliner to go into service in the UK?,Cometary nuclei,coma astronomy|dirty snowball|coma comet|dark comet|jupiter family comet|comet|plasma tail|halley type comet|☄|dirty snowball theory|comet tails|dirty snowball hypothesis|dirty snowball model|a1 comet|long period comet|black comets|short period comet|disconnection event|short period comets|comets|cometary|jupiter family|cometary nuclei|commet|tail comet|Tail (comet)|Short-period comet|Halley-type comet|Long-period comet|Jupiter-family comet|Coma (astronomy)|Coma (comet)
"Who was the leader of the gang whose members included Benny the Ball ,Brain and Choo Choo?",Brain (Top Cat character,top cat|boss cat|brain top cat character|Brain (Top Cat character|Top Cat.
‘Hampsteads’ is Cockney rhyming slang for what?,Tooth root,tooth serrations|apex radicis dentis|tooth|tooth root|maxillary teeth|pegged teeth|tooth animal|teeth|Tooth (animal)
What was the scene of the final defeat of the Jacobites under Charles Edward by forces under the command of the Duke of Cumberland on 16 April 1746?,Culloden,culloden|culloden disambiguation|Culloden (disambiguation)
"Ushuaia, which is now generally accepted as the southernmost city in the world, is in which country?",Arxintina,arxentina|argentina information|argentinie|nacion argentina|argentyna|people of argintina|argjentina|republica argentina|antonia merce y luque|argentína|arc hantina|ariannin|argies|argentinean|airgintín|argentīna|iso 3166 1 ar|arjantin|república argentina|argentinien|արգենտինա|airgintin|nación argentina|argentinia|argentina|arxintina|アルゼンチン|republic of argentina|argentina republic|אַרגענטינע|argintina|अर्जेन्टीना|argentine republic|argentiina|آرژانتین|аргентына|arghantina|argie|аржентина|argentinië|ארגנטינה|الأرجنتين|land of silver|The Argentine Republic|Arc'hantina|ISO 3166-1:AR
What English expression for a long complex procedure derived from a old legal document called a ragman roll?,Rigmarole,rigmarole|rigamarole
Beloved in 1999 was whose first movie since The Color Purple in 1985?,Oprah,"oprah gail winfrey|vernon winfrey|winfrey oprah gail|oprah winfre|patricia lee lloyd|oprahism|oprah s angels|opera winfrey|orpah winfrey|oprah winfry|oprah|oprah s last chapter|oprah winfrey|ophra|harpo radio inc|harpo winfrey|harpo inc|oprah winfery|oprah g winfrey|Winfrey, Oprah Gail|Oprah!|Harpo Radio, Inc.|Patricia Lee-Lloyd|Oprah's Last Chapter|Oprah's Angels|Oprah G. Winfrey|Harpo Inc."
What was the name of Butch Cassidy's gang,Hole in the Wall gang,hole in wall gang|Hole in the Wall gang|The Hole-in-the-Wall Gang|The Hole in the Wall Gang
What type of camel has two humps?,Bactrian,bactrian|bactrian disambiguation|Bactrian (disambiguation)
What word is used to mean the dead skin at the base of a fingernail?,Cuticles,cuticula|cuticular|cuticles|cuticle|waxy cuticle
What does an octopus spray when threatened?,Ink,printing ink|inks|indelible ink|ink|inky liquid|Inky (liquid)
"The English towns of Abingdon, Wallingford and Marlow lie on which river?",Theems,temz river|river thames|themsen|old father thames|thames river|isis river england|thames|thames basin|tamigi|tamisa|tamiza|river temz|thames river england|temza|history of thames water|theems|themse|temze|tems river|thames crossing|tamesa|river tems|The Thames|The Thames River|The River Thames|The Thames (river)|Isis River (England)|Thames (river)|Thames River (England)
What song was a hit for Tom Jones and Cerys Matthews in 1999?,It's Cold Outside,"it s cold outside|baby it s cold outside song|baby its cold outside|baby it s cold outside|It's Cold Outside|Baby, It's Cold Outside (song)|Baby, It's Cold Outside|Baby it's cold outside"
What lake can be found on the border of Vermont and New York?,Champlain Lake,"lake champlain|champlain lake|lake champlain islands vermont|lake champlain islans vermont|lake champlaign|Lake Champlain Islands, Vermont|Lake Champlain Islans, Vermont"
"What spirit, in Ireland and Scotland, makes noises near a house when someone is about to die?",Bean sidhe,bán síde|bansidhe|benshee|bean shìth|bean shìdh|banshees|banshee|ben síde|bean shith|ban sìth|bean sídhe|ban side|ben side|bean shidh|bahr geist|bean sidhe|ban sith|bean sith|ben shee|beah shith|bean síth|Ban-sith|Bean-shidh|The banshee|Bean-sídhe|Bean-shìdh|Ban-sìth
"Frenchman Maurice André, who attributed his stamina and breath control to his teenage years as a coal miner, was a famous virtuoso player of what instrument?",Trumpet.,trumpeters|soprano bugle|🎺|trumpet bach|jazz trumpeter|super c trumpet|trumpeter|alto trumpet|trompete|lead trumpet|trumpet player|herald trumpet|trumpets|tromba|trumpet|Trumpet.|Trumpet (Bach)
Complete this boxing phrase 'The Thriller in'?,"Manila, Phillipine Islands","manila poblacion|manila phillipines|ciudad de manila|philippine capital|poblasyon ng maynila|manila philippine islands|un locode phmnl|manilan|downtown manila|manileño|capital of philippines|capital city of philippines|manilla philippines|6 resurrection 08 09|manila phillipine islands|queen of orient|maynila|city of our affections|maynilad|divisoria|city of manila|manila health department|manila|distinguished and ever loyal city|manila yacht club|manila phillippines|manila metro manila|manila city|manila philippines|asia manila|Manila, Phillipine Islands|Manila, Philippine Islands|Manila, Metro Manila|UN/LOCODE:PHMNL|Queen of the Orient|Manila, Phillipines|Manila, Phillippines|Manila (City)|Manila, Philippines|Manilla, Philippines|The City of Our Affections|6-resurrection (08-09)|Asia/Manila"
What drinking vessel supposedly confers eternal life on those who drink from it?,Sangrael,grail myth|quest for holy grail|holy graal|holy glair|queste du graal|sangraal|grail mythos|grail|grail quest|quest of holy grail|sangrail|san greal|sangrael|holy grail quest|grail legend|sangreal|holy grail|The Holy Glair|Quest for the Holy Grail|The Holy Grail|The Quest of the Holy Grail
"April 5, 1614 saw early American settler and tobacco exporter John Rolfe marry who?",Pocahontas (Pocahontas),pocahontas|pocohantas|amonute|princess matoika|rebecca rolfe|princess matoaka|pocahontes|pocahantas|pocahauntus|pochahantas|pokahontas|pocohantus|matoaka|pocohontas|pochahontas|mrs john rolfe|pocahontas rolfe|pocahantos|matowaka|matoika|pocahontas pocahontas|matoaka pocahontas|Pocahontas (Pocahontas)
What is the fin called underneath the rear of a surfboard?,Skeg (surfing),skeg surfing|bug shoe|skeg|Skeg (surfing)
"""After stints backing Little Richard and the Isley Brothers, who was discovered leading """"Jimmy James and the Blue Flames"""" at the Caf Wha? in New York and taken to London on 26 September 1966 to make hit records?""",Hendrix,johnny allen hendrix|jimmy hendrix|jim hendrix|jimi hendrix|jimy hendrix|hendrix|jimmy hendricks|early life of jimi hendrix|electric church|gypsy suns and rainbows|heaven research|villanova junction|james hendrix|al hendrix|james marshall hendrix|gypsy sun and rainbows|lithofayne pridgeon|janie hendrix|jimmi hendrix
Which country is known to its people as Suomen Tasavalta?,FinlanD,etymology of finland|finn land|suomen tasavalta|republiken finland|iso 3166 1 fi|finlande|fin land|finnland|republic of finland|finland|finland during world war ii|finland s|northern finland|name of finland|Finland's|ISO 3166-1:FI
In which year did St George die?,three hundred and three,303|three hundred and three
Who allegedly solved the riddle of the Gordian knot simply by slicing it with his sword?,Μέγας Ἀλέξανδρος,great alexander|alexander iii of macedon|μέγας ἀλέξανδρος|sikandar mahan|letter to darius ii|letter to darius iii|alexandrian empire|alexander great|aleksander great|sikunder|iskandar zulkarnain|aleksandar ī hrōmāyīg|alexander magnus|alexandrian era|aléxandros ho mégas|alexnader great|alexander of macedonia|alex great|alexanderthegreat|iskander accursed|αλέξανδρος ο μέγας|megas aleksandros|alexander graet|alexandros iii of macedon|ἀλέξανδρος ὁ μέγας|alexandros great|sikandar e azam|alexandrian period|alexander macedonian|Iskander the Accursed|Alexander the Great|Alexnader the great|Alexandros the Great|Aleksander the Great|Alexander the graet|Alex the great|Alexander the Macedonian|Sikandar-e-Azam|Alexander-the-great
Nick Begs was lead singer with which 80’s pop band?,Kaja Googoo,kajagoogoo|kaja googoo
As at 2012 Goulburn Correctional Centre is considered the highest security prison of which country?,Australia (Commonwealth realm),australie|orstraya|federal australia|australias|empire of australia|modern australia|asutralia|iso 3166 1 au|australien|australia country|australia federation|austraila|country life in australia|philosophy in australia|australlia|continental australia|pax australiana|austrlaia|australia dominion|australian woman s day|australia monarchy|australia|australian country life|united states of australia|mainland australia|australia commonwealth|austalia|australija|australocentric|peace of australia|australia realm|ostralia|australocentrist|australian geopolitics|australia nation|australia commonwealth realm|australian|australian city life|australia empire|austraya|australiia|geopolitics of australia|australo|technology in australia|ausrtalia|australai|australia nation state|science in australia|dominion of australia|commonwealth of australia|australia state|aussieland|australian mainland|australian s|imperial australia|austrailia|city life in australia|austrlia|commonwealth australia|straya|australocentrism|australia s|australia constitutional monarchy|etymology of australia|australian commonwealth|new australian|Australia (Commonwealth realm)|Australia (commonwealth)|Australia (nation)|Australia (dominion)|Australia (federation)|Australia (country)|Australia (nation state)|Australia (nation-state)|Australia's|Australian Woman's Day|Australia (realm)|Australia (constitutional monarchy)|Australia (monarchy)|Australia (empire)|The Commonwealth of Australia|Australia.|Australia (state)|ISO 3166-1:AU|Australo-|Australian's
What is the name of Tokyo's seaport ?,横浜,"tsurumi ku kanagawa|yokohama japan|history of yokohama|橫濱|神奈川県横浜市|yokohama city|横浜市|yokohama bay|yokohama kanagawa|横浜|yokohama|history of yokohama japan|yokohama shi|Yokohama, Japan|History of Yokohama, Japan|Yokohama, Kanagawa|Tsurumi-ku, Kanagawa|Yokohama-shi"
"Located in North Carolina, which is both the highest mountain in the Appalachians and the highest mountain east of the Mississippi?",Mount Mitchell,"mt mitchell|mount mitchell north carolina|mount mitchell|Mount Mitchell, North Carolina|Mount Mitchell (North Carolina)|Mt. Mitchell"
"What speaker component is used to produce the highest audio frequencies, usually between 2,000HZ and 20,000HZ?",Piezo tweeter,tweeter|tweeters|piezo tweeter|piezoelectric speakers
Who on TV is the Naked Chef,Jools oliver,"juliette norton|naked chef|james trevor oliver|james oliver chef|james trevor jamie oliver|james trevor oliver mbe|jamie oliver|james trevor jamie oliver mbe|jools oliver|James Trevor 'Jamie' Oliver, MBE|James Trevor 'Jamie' Oliver|James Oliver (chef)|James Trevor Oliver, MBE"
What name was given to the floating harbours used on D-Day?,Mulberry tea,moriculture|mulberries|morus plant|mullberry|mulberry trees|mulberry tea|mulbery|mulberry|mulberry tree|Morus (plant)
Las Vegas is situated in which US State?,Silver State,"silver state|transport in nevada|sports in nevada|transportation in nevada|36th state|tikaboo valley|state of nevada|battle born state|demographics of nevada|sagebrush state|nevada state|nevada u s state|politics of nevada|thirty sixth state|nevada united states|economy of nevada|nevadan|nevada|nev|education in nevada|nevadian|nevada annulment|geography of nevada|religion in nevada|nevada s southern boundary 1861 1867|nv state|us nv|nevada usa|climate of nevada|navada|Nevada, United States|US-NV|Nevada's Southern Boundary 1861-1867|The Sagebrush State|NV (state)|The Battle Born State|Thirty-Sixth State|Nev.|Nevada, USA|Nevada (U.S. state)|The Silver State|Nevada (state)"
"What is the name of the system of stellar designation in which a specific star is identified by a Greek letter (then Latin letters in lower-case then upper-case), followed by the genitive form of its parent constellation's Latin name (e.g. Tauri)?",Bayer's Name,bayer s name|bayer classification|bayer letter|bayer letters|bayer designations|bayer designation|Bayer's Name
David Tyler is the current chairman of which leading supermarket chain?,Sainsburys.com,j sainsbury s|j sainsbury|sl shaw|sainsbury s supermarkets|sainsbury j plc|sainsbury s energy|sainsbury s basics|j sainsbury plc|beaumonts|sainsbury s calais|sainsbury s|by sainsbury s|sl shaw ltd|sainsburys|jb beaumont|sansburys|sainsburys com|sainsbury s entertainment|sainsbury j|Sainsburys.com|Sainsbury (J)|Sainsbury (J) plc|SAINSBURY'S|By Sainsbury's|Sainsbury's Energy|Sainsbury's Basics|Sainsbury's Calais|Sainsbury’s|Sainsbury's Supermarkets|J. Sainsbury plc|J Sainsbury's|Sainsbury's Entertainment|J. Sainsbury
"Although he never won an Oscar for best director, one of Hitchcock's films did win an Oscar for best picture. What was the film?",Rifkah,rifkoh|rebeccah|rivka|rifko|ribhqah|rebekah|rifkah|rebbecca|rivqa|rivqah|rivko|rebecca|rivkoh|rifka
Who had a 60s No 1 with Downtown?,Petula Clark,petula clarke|petula sally olwen clark|pet clark|petula clark
Jimi Hendrix presented the broken parts of the guitar that he destroyed on-stage at the 1968 Miami Pop Festival to whom? Not sure if the recipient named it Moon Unit.,Frank zappa,"frank zappa and mothers|francesco zapato|zappa|frank zappa mothers of invention|zappa references|zappa frank vincent|vaulternative records|frank zappa|francis vincent jr zappa|zappa frank|zappadan|frank vincent zappa|Francis Vincent Jr. Zappa|Frank Zappa and the Mothers|Frank Zappa & the Mothers of Invention|Zappa, Frank|Zappa:References|Zappa, Frank Vincent"
"""From which Beatles song do the following lyrics come, """"Nothing's going to change my world""""?""",Across The Universe,across universe world wildlife fund version|across universe|across universe song|jai guru deva om|Across The Universe|Across the Universe (World Wildlife Fund version)|Across the universe (song)|'ACROSS THE UNIVERSE'
Which “Thom” is Radiohead’s lead singer and principal songwriter?,Youwouldn’tlikemewhenI’mangry,"tom yorke radiohead|yorke radiohead|thom york musician|tom yorke musician|yorke thom radiohead|york radiohead|2 minute silence|tom york musician|thomas edward yorke|tchock|youwouldn tlikemewheni mangry|yorke tom radiohead|white chocolate farm|york tom radiohead|thom york radiohead|dr tchock|yorke thom|york thom radiohead|thom yorke|thom york|yorke tom|thom yorke radiohead|thom yorke musician|tom yorke|tom york radiohead|thom e yorke|york thom|Youwouldn’tlikemewhenI’mangry|Tom York (Radiohead)|Yorke, Tom (Radiohead)|Dr. Tchock|Yorke, Thom (Radiohead)|Thom York (musician)|Thom Yorke (Radiohead)|Thom Yorke (musician)|Thom E. Yorke|York, Tom (Radiohead)|Yorke, Tom|Yorke, Thom|York, Thom|Thom York (Radiohead)|Tom York (musician)|The White Chocolate Farm|Tom Yorke (musician)|York, Thom (Radiohead)|Tom Yorke (Radiohead)|York (Radiohead)|Yorke (Radiohead)"
Which former British PM was christened “Grocer” by Private Eye?,Sir Edward Heath,edward heath|shadow cabinet of edward heath 1974–1975|shadow cabinet of edward heath ii|edward r g heath|ted heath|edward richard george heath|sir edward heath|Shadow Cabinet of Edward Heath (1974–1975)|Edward R. G. Heath
In which sport would you see someone slam-dunking the ball?,Basketball,men s basketball|baksetball|baketball|boy s basketball|basketball club|high school basketball|rim basketball|basketball team|bball|unicycle basketball|basketball worldwide|shoot hoops|b ball|basketball|basketball net|women s hoops|basketball gear|basketballer|basket ball|basketball rim|🏀|basketball parity worldwide|basketball player|Boy's Basketball|Men's Basketball|B-ball|Basket-ball|Rim (basketball)|Women's hoops
"In Greek mythology, who was the mother of Perseus visited by Zeus disguised as a shower of gold?",Danaë,denae|danae|acrisioneis|danaë
Captain Corelli's mandolin is a book a film set in which country,Yunanistan,elliniki dimokratía|macedonian greece|ellada|grèce|elliniki dimokratia|yananistan|grece|yunanistan|history of north greece|grcka|hellas|greece|republic of greece|graecia|hellada|grcija|hellás|temporary government of national defence|ελλάδα|république hellénique|ellīnikī́ dīmokratía|iso 3166 1 gr|social issues in greece|political history of greece|eládha|greek republic|griekenland|ελλάς|ελληνική δημοκρατία|elás|greek law hellenic republic|elláda|hellenic republic|republique hellenique|eladha|ελλας|griechenland|picki u dusa|grecce|The Hellenic Republic|ISO 3166-1:GR|Greek law (Hellenic Republic)
"""The American film made at the very start of the sound film era, """"All Quiet on the Western Front"""" (1930), on the grimness of warfare in WWI was banned in Germany (after a brief run in 1930) not unexpectedly, but also where?""",Australia (Commonwealth realm),australie|orstraya|federal australia|australias|empire of australia|modern australia|asutralia|iso 3166 1 au|australien|australia country|australia federation|austraila|country life in australia|philosophy in australia|australlia|continental australia|pax australiana|austrlaia|australia dominion|australian woman s day|australia monarchy|australia|australian country life|united states of australia|mainland australia|australia commonwealth|austalia|australija|australocentric|peace of australia|australia realm|ostralia|australocentrist|australian geopolitics|australia nation|australia commonwealth realm|australian|australian city life|australia empire|austraya|australiia|geopolitics of australia|australo|technology in australia|ausrtalia|australai|australia nation state|science in australia|dominion of australia|commonwealth of australia|australia state|aussieland|australian mainland|australian s|imperial australia|austrailia|city life in australia|austrlia|commonwealth australia|straya|australocentrism|australia s|australia constitutional monarchy|etymology of australia|australian commonwealth|new australian|Australia (Commonwealth realm)|Australia (commonwealth)|Australia (nation)|Australia (dominion)|Australia (federation)|Australia (country)|Australia (nation state)|Australia (nation-state)|Australia's|Australian Woman's Day|Australia (realm)|Australia (constitutional monarchy)|Australia (monarchy)|Australia (empire)|The Commonwealth of Australia|Australia.|Australia (state)|ISO 3166-1:AU|Australo-|Australian's
Which is the largest cat in the world?,Manchurian Tiger,panthera tigris altaica|manchurian tiger|northeast china tiger|amur tiger|siberian tigers|amur tigers|korean tiger|north china tiger|ussurian tiger|ussuri tiger|siberian tiger|The Siberian Tiger
"Which French winner of the Nobel Prize for Literature, famously dedicated it to his primary school teacher?",The Blood of the Hungarians,"blood of hungarians|alber camee|albert camee|albert camus absurd hero|albert camus absurd|albert camus|alber cammi|albert cammy|camusian|blood of hungarians by albert camus|albert cami|absurd hero|albert cammi|camus albert|alber cammy|alber cami|The Blood of the Hungarians|Albert Camus: The Absurd Hero|Blood of the Hungarians by Albert Camus|Albert Camus/the Absurd|Camus, albert"
"""What is the longest running emergency medical drama series in the world, and the second-longest-running medical drama in the world behind America's """"General Hospital""""?""",Casualty (disambiguation),casualty disambiguation|casualty|Casualty (disambiguation)
Clement (Clym) Yeobright is a leading character in which novel?,Return of the native,return of native novel|diggory venn|return of native|eustacia vye|thomasin yeobright|Return of the native|Return of the Native (novel)|The return of the native
