question,correct_answer,llama_answer,qwen_answer,allam_answer
What was Julian Schnabel's acclaimed 2008 film of the book written by a stroke victim's blinking eye?,The Diving-Bell and the Butterfly,The Diving Bell and the Butterfly.,The Diving Bell and the Butterfly,Before the Flood
Which king’s beloved son William was drowned in the tragedy of the White Ship?,Enrique I,William II of England's half-brother.,Henry I,King Henry II
"What was the 42nd state to join the Union on Nov 11, 1889?",Washington (Amtrak station),North Dakota.,North Dakota,Hawaii
A Suffolk Punch is what kind of animal?,Horse,Draft horse.,A horse,Horse
A rabbit punch is a blow to what part of the body?,Necke,The base of the skull.,The back of the head or neck,Face
"Which American wit said, 'This is not a novel to be tossed aside lightly. It should be thrown with great force'?",Constant Reader,Dorothy Parker.,James Thurber,Mark Twain.
What was the first Beatles film?,A hard day's night,A Hard Day's Night.,A Hard Day's Night,A Hard Day's Night
Films. Which Dominic starred as Merry (Meriadoc) in ‘The Lord of the Rings’?,Monaghan Urban Council,Dominic Monaghan.,Dominic Monaghan,Dominic Monaghan
Which celebrity first found fame as the Joan Collins Fan Club,Joan Collins Fanclub,I couldn't find any information on this.,Elton John,Dame Joan Collins
Which Japanese island that has its capital at Sapporo is the traditional home of the Ainu people?,Hokkaidou prefecture,Hokkaido.,Hokkaido,Hokkaido
In which US city do the Baseball team known as the 'Royals' play their home games?,Kansas City Metro,Kansas City.,Kansas City,Kansas City
"""What medical board game features body parts such as """"Charley Horse"""" and """"Spare Ribs""""?""",Operations,Operation.,Operation,"""Medic!"""
What term refers to a triangle with two equal sides?,Isosceles triangle,Isosceles.,Isosceles triangle,Scalene triangle
Who was the leader of France’s Vichy Government during World War II?,Henri Phillippe Pétain,Marshall Philippe Pétain.,Philippe Pétain,Philippe Pétain
If I Were A Rich Man Was a big hit from which stage show?,Fiddler on a Roof,Fiddler on the Roof.,Fiddler on the Roof,Fiddler on the Roof
"Luzon, Visayas and Mindanao form the three major island groups of which country?",Islas Filipinas,The Philippines.,The Philippines,Philippines
"First debuting in the cartoon Mickey's Review, what classic turtle neck wearing cartoon character had the original name of Dippy Dog?",Goofy holler,"Dennis the Menace's companion, Ruff.",Goofy,Yogi Bear
"What is prussic acid, found in bitter almonds and laurel leaves, also known as?",Formic anammonide,Hydrogen cyanide.,Hydrogen cyanide,Hydrocyanic acid
Which UK band had 2 top ten singles in the same week in 2001?,Manic Street Preachers,Oasis.,The Beatles,Oasis
"The first US space station was launched on May 14, 1973. What was it called?",Skylab One,Skylab.,Skylab,Skylab.
Which P is the correct technical term for the art of making and displaying fireworks?,Pyrotecnics,Pyrotechnics.,Pyrotechnics,Pyrotechnics
What is the more common name for atmospheric vapour frozen in a crystalline form,Snowflake structure,Fog.,Snow,Ice.
"In the 2005 Julian Barnes novel ‘Arthur and George’, who is Arthur?",A Conan Doyle,Sir Arthur Conan Doyle.,Arthur Conan Doyle,"Arthur is the main character, Arthur Conan Doyle."
Which organization of the Catholic church whose name is Latin for 'Work of God' received world attention with the publication of The Da Vinci Code in which it is portrayed as participating in a sinister international conspiracy?,The Prelature of the Holy Cross and Opus Dei,Opus Dei.,Opus Dei,Opus Dei
Fado is a type of music from which country?,Portogało,Portugal.,Portugal,Portugal
What is the capital of Algeria,"Algiers, AL",Algiers.,Algiers,الجزائر العاصمة
"In weaving, what are the threads running parallel to the length of the cloth called?",Warping,Warp.,Warp threads,Warp threads
"In the human body, what is the common name for the 'Talus bone'?",Ancle,Ankle bone.,Ankle bone,Ankle bone
Can you connect Darwin and his research on Galapagos Islands to the book To Kill a Mockingbird?,Fringillidae,No direct connection.,No direct connection,Similarities between prejudice and evolution.
"""Who said, To err is human but it feels divine?""""""",Mae West,Mae West.,No one,William Shakespeare
An isohel is a line on a map connecting two points which have the same duration of what?,Solar Irradiation,solar time.,sunshine,Solar exposure.
What was placed in Earth’s orbit by Discovery in 1990?,Hubble Space telescope,Hubble Space Telescope.,The Hubble Space Telescope,The Space Shuttle Discovery launched the Tracking and Data Relay Satellite (TDRS) in 1990. This satellite has been orbiting Earth to provide communication and tracking support for space missions.
"Vijay Singh, a US Masters champion, comes from where?",Fiji Islands,Fiji.,Fiji,Fiji
What are the only two types of mammal that can lay eggs?,Platamapus,Monotremes.,Platypus and echidna,Monotremes.
What is animelles the culinary term for,Testical cyst,Small pieces of meat.,Testicles,Edible animals or ingredients derived from animals.
"In the human body, what seven letter word describes the loss of the sense of smell ?",Anosmia,Anosmia.,Anosmia,Anosmia
In which ‘business’ did John Davidson Rockefeller make his fortune?,Oil (disambiguation),Oil refining.,Oil,Oil industry
"""What has been described as the """"fifth"""" taste, after sweet, sour, bitter, and salty?""",Savory taste,Umami.,Umami,Umami
"In Greek mythology, who stole fire from the gods and gave it to the human race?",Trick at mecone,Prometheus.,Prometheus,Prometheus
Which metal is added to steel to produce stainless steel?,Chromium compounds,Chromium.,Chromium,Chromium
What colour/color is Mr Bump in Hargreaves' Mr Men series of children's cartoon books?,Blue,Blue,Brown,Mr. Bump is yellow in the Mr. Men series.
What is the name given to the official residence provided for the Olympic athletes?,Paralympic Village,Olympic Village.,Olympic Village,Olympic Village
"Which organization claims to have the world's largest collection of public records, unpublished opinions, forms, legal, news, and business information?",Matthew Bender,Westlaw.,LexisNexis,LexisNexis
What colour is the cross on the national flag of Switzerland?,White (Colour),White.,White,White
What was the first top ten entry for Ce Ce Peniston (1992),We Got a Love Thang,Finally,Finally,"""Finally"""
Involvement with which corrupt architect led to the resignation of Home Secretary Reginald Maudling in July 1972?,Poulson affair,John Poulson.,John Poulson,"The involvement of corrupt architect Archibald Leach, also known as Cary Grant, led to the resignation of Home Secretary Reginald Maudling in July 1972."
In which European city is the Belvederen Gallery?,Capital of Austria,Vienna.,Berlin,Amsterdam
"Graca Machel, the widow of a President of Mozambique, is the wife of which famous man?",Nelson Mendella,Nelson Mandela.,Nelson Mandela,Nelson Mandela
Aberdeen is known as what?,The granite city,The Oil Capital of Europe.,Granite City,Granite City
Which shocking fish is also known as a torpedo?,Torpediniformes,Electric eel.,Electric ray,Electric eel
What name is given to a baby marsupial?,Joey (disambiguation),Joey.,Joey,Joey
What period film of Stanley Kubrick that recounts the exploits of an 18th century Irish adventurer is loosely based on a novel of William Makepeace Thackeray?,Barry Lyndon (film),Barry Lyndon.,Barry Lyndon,Barry Lyndon (1975)
"""'The Doors' generated a controversy with the single """"Hello, I Love You"""" in 1968 when the press pointed out it's resemblance to the 1965 hit """"All Day and All of the Night"""" of which band?""",The Kinks,The Kinks.,The Hollies,"The lyrics of ""Hello, I Love You"" by The Doors were deemed too similar to the 1965 hit ""All Day and All of the Night"" by The Kinks."
The name of which chemical element of the Periodic Table ends with the letters KEL ?,Nickel metallurgy,Tellurium.,Nickel,Krypton
In which county will you find Fountains abbey and Studley Water Gardens?,Wrench Green,North Yorkshire.,North Yorkshire,North Yorkshire
What nationality was the astronomer Copernicus ?,Polishedly,Polish.,Polish,Polish.
Darwin is the capital of which Australian state ?,Northern Territory,Northern Territory.,Northern Territory,Tasmania
The 19th century invention Paige Compositor sought to replace the typewriter but ended up becoming a failure. Which American author lost nearly all his fortune for its development?,Mark Twain,James Paige,Mark Twain,Charles W.
What product invented by Frederick Walton in 1864 became so widely used and 'stepped on' that the name became generic just 14 years after its invention?,Lynolium,Linoleum.,Linoleum,Paper clip.
What is the scientific name given to tea?,Camelia sinensis,Camellia sinensis.,Camellia sinensis,Camellia sinensis
Who did June Carter marry?,Vivian Cash,Johnny Cash.,Johnny Cash,Johnny Cash
Who on TV has played a scarecrow and a Time Lord?,John Pertwee,David Tennant.,David Tennant,Christopher Eccleston
Who had the most expensive presidential inauguration ceremony of the 20th century?,George Walker Bush,John F. Kennedy.,Bill Clinton,Bill Clinton
Arthur Thistlewood led which failed conspiracy in 1820?,CATO STREET,Cato Street Conspiracy.,Cato Street Conspiracy,The Cato Street Conspiracy was a failed plot by a group of radicals to assassinate several members of the British government and declare a republic in 1820. Arthur Thistlewood was one of the leaders of this conspiracy.
"In April, which sportsman married his childhood sweetheart Kim Sears?",Andy Murray (tennis player),Andy Murray.,Tiger Woods,Sir Steve Redgrave
Stalactites grow down from the top of cave. What grows up from the floor of a cave?,Stalagmite,Stalagmites.,Stalagmites,Stalagmites.
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,ISO 3166-1:RO,Romania.,Poland,Romania
"The London production of which play by acclaimed Australian playwright, David Williamson, won him the George Devine Award, the first time for a non-UK writer?",The Removalists,"""Otherwise Engaged""",The Removalists,"The play is ""The Removalists""."
In which country was the first permanent bungee jumping site situated?,N Z,New Zealand.,New Zealand,New Zealand
"Which 2010 biographical film, starring Mark Wahlberg and Christian Bale, centred on the life of professional boxer 'Micky Ward' and his older half-brother 'Dicky Eklund'?",The Fighter (2010 film),The Fighter.,The Fighter,The Fighter
The 'Gowk' is an old dialect word for which bird?,The cuckoo,Cuckoo.,Cuckoo,Cuckoo
What is the name of the convenience store operated by Apu on TVs The Simpson?,Kwik e mart,Kwik-E-Mart.,Kwik-E-Mart,Kwik-E-Mart
Who played Brad Pitt’s wife Theresa Mills in the film ‘Seven’?,Gwynyth Paltrow,Gwyneth Paltrow,Gwyneth Paltrow,Kate Beckinsale
"""Who wrote the trilogy of books """"The Millennium Trilogy"""" featuring the character Lisbeth Salander?""",Stieg Larsen,Stieg Larsson.,Stieg Larsson,Stieg Larsson
From which film did The Harry Lime Theme come,The Third Man (film),The Third Man.,The Third Man,"""The Third Man"""
' Ophidian ' refers to what kind of creatures ?,Snkae,Snakes.,Snakes,Snakes.
"The equatorial Republic of Kiribati's 'Kiritimati' (Christmas) Island, among the first land to see each new day/year, is in which ocean?",Pacific Basin,Pacific Ocean.,Pacific Ocean,Pacific Ocean
"Which type of lens is thicker at the centre than at the edge, as used in microscopes?",Lens Maker's Formula,Convex lens.,Convex lens,Planoconvex lens
The Mossad is the intelligence agency of what country?,İsrail,Israel.,Israel,Israel
Which chemical element is named after the Greek word for the Moon?,Selenious,"Luna is not the answer, but Selene is.",Selenium,Luna
