question,correct_answer,model_a,model_b,swapped,first_model,first_answer,second_model,second_answer,first_length_words,second_length_words
What is the chief river of Burma ?,IRRAWADDY,allam,llama,False,allam,The Irrawaddy.,llama,Irrawaddy River.,2,2
What is the chief river of Burma ?,IRRAWADDY,allam,qwen,False,allam,The Irrawaddy.,qwen,Irrawaddy River,2,2
What is the chief river of Burma ?,IRRAWADDY,llama,qwen,False,llama,Irrawaddy River.,qwen,Irrawaddy River,2,2
What is a dish of pickled herring fillets wrapped around an onion or gerkhin called,Rollmop,allam,llama,False,allam,Herring and onion roll,llama,Pickled herring roll.,4,3
What is a dish of pickled herring fillets wrapped around an onion or gerkhin called,Rollmop,allam,qwen,False,allam,Herring and onion roll,qwen,Matjes,4,1
What is a dish of pickled herring fillets wrapped around an onion or gerkhin called,Rollmop,llama,qwen,False,llama,Pickled herring roll.,qwen,Matjes,3,1
"Known as The Hoosier State, what was the 19th state to join the Union on december 11, 1816?","Indiana, United States",allam,llama,False,allam,Indiana,llama,Indiana.,1,1
"Known as The Hoosier State, what was the 19th state to join the Union on december 11, 1816?","Indiana, United States",allam,qwen,False,allam,Indiana,qwen,Indiana,1,1
"Known as The Hoosier State, what was the 19th state to join the Union on december 11, 1816?","Indiana, United States",llama,qwen,False,llama,Indiana.,qwen,Indiana,1,1
What was President Gerald Ford's middle name?,Rudolph (disambiguation),allam,llama,False,allam,"Gerald Ford's middle name was ""Richard"".",llama,Rudolph.,6,1
What was President Gerald Ford's middle name?,Rudolph (disambiguation),allam,qwen,True,qwen,Rudolph,allam,"Gerald Ford's middle name was ""Richard"".",1,6
What was President Gerald Ford's middle name?,Rudolph (disambiguation),llama,qwen,True,qwen,Rudolph,llama,Rudolph.,1,1
Which illness is commonly treated with the drugs lisinopril and ramipril?,Hypertensive diseases,allam,llama,True,llama,High blood pressure.,allam,Hypertension (high blood pressure),3,4
Which illness is commonly treated with the drugs lisinopril and ramipril?,Hypertensive diseases,allam,qwen,False,allam,Hypertension (high blood pressure),qwen,High blood pressure,4,3
Which illness is commonly treated with the drugs lisinopril and ramipril?,Hypertensive diseases,llama,qwen,True,qwen,High blood pressure,llama,High blood pressure.,3,3
The 'naut' in the words 'astronaut' and 'aeronaut' meant originally what?,Merchant mariner,allam,llama,True,llama,Latin 'nauta' meaning sailor.,allam,Seafarer,4,1
The 'naut' in the words 'astronaut' and 'aeronaut' meant originally what?,Merchant mariner,allam,qwen,False,allam,Seafarer,qwen,sailor,1,1
The 'naut' in the words 'astronaut' and 'aeronaut' meant originally what?,Merchant mariner,llama,qwen,False,llama,Latin 'nauta' meaning sailor.,qwen,sailor,4,1
"Written by Earl Derr Biggers in 1925, 'The House Without A Key' was the first novel to feature which Chinese- American detective?",Charlie Chan,allam,llama,False,allam,Charlie Chan,llama,Charlie Chan.,2,2
"Written by Earl Derr Biggers in 1925, 'The House Without A Key' was the first novel to feature which Chinese- American detective?",Charlie Chan,allam,qwen,False,allam,Charlie Chan,qwen,Charlie Chan,2,2
"Written by Earl Derr Biggers in 1925, 'The House Without A Key' was the first novel to feature which Chinese- American detective?",Charlie Chan,llama,qwen,False,llama,Charlie Chan.,qwen,Charlie Chan,2,2
Which Palestinian co-founded al Fatah in 1957?,Yasir Arafat,allam,llama,False,allam,Yasser Arafat,llama,Yasser Arafat.,2,2
Which Palestinian co-founded al Fatah in 1957?,Yasir Arafat,allam,qwen,True,qwen,Yasser Arafat,allam,Yasser Arafat,2,2
Which Palestinian co-founded al Fatah in 1957?,Yasir Arafat,llama,qwen,False,llama,Yasser Arafat.,qwen,Yasser Arafat,2,2
Who was the longest reigning British king?,"George III, King of Great Britain and Ireland",allam,llama,True,llama,"Queen Victoria's reign was the longest, but Queen Elizabeth II surpassed that.",allam,Queen Victoria,12,2
Who was the longest reigning British king?,"George III, King of Great Britain and Ireland",allam,qwen,False,allam,Queen Victoria,qwen,Queen Victoria,2,2
Who was the longest reigning British king?,"George III, King of Great Britain and Ireland",llama,qwen,False,llama,"Queen Victoria's reign was the longest, but Queen Elizabeth II surpassed that.",qwen,Queen Victoria,12,2
Who opened the Sydney Opera House in 1973,The Queen (disambiguation),allam,llama,False,allam,Björn Ulvaeus,llama,Queen Elizabeth II.,2,3
Who opened the Sydney Opera House in 1973,The Queen (disambiguation),allam,qwen,True,qwen,Queen Elizabeth II,allam,Björn Ulvaeus,3,2
Who opened the Sydney Opera House in 1973,The Queen (disambiguation),llama,qwen,True,qwen,Queen Elizabeth II,llama,Queen Elizabeth II.,3,3
In the 'Jungle Book' what type of creature was 'Bagheera'?,Panther athletics,allam,llama,False,allam,Black panther.,llama,Black panther.,2,2
In the 'Jungle Book' what type of creature was 'Bagheera'?,Panther athletics,allam,qwen,False,allam,Black panther.,qwen,Black panther,2,2
In the 'Jungle Book' what type of creature was 'Bagheera'?,Panther athletics,llama,qwen,False,llama,Black panther.,qwen,Black panther,2,2
Which iconic British female singer made the highly regarded album titled '(her first name) in Memphis' ?,Dusty springfield,allam,llama,True,llama,Amy Winehouse,allam,Adele,2,1
Which iconic British female singer made the highly regarded album titled '(her first name) in Memphis' ?,Dusty springfield,allam,qwen,True,qwen,Amy Winehouse,allam,Adele,2,1
Which iconic British female singer made the highly regarded album titled '(her first name) in Memphis' ?,Dusty springfield,llama,qwen,False,llama,Amy Winehouse,qwen,Amy Winehouse,2,2
What was the name of the private eye played by Trevor Eve on TV in the '70s?,Shoestring (TV series),allam,llama,False,allam,Sonny Crockett,llama,Sharon.,2,1
What was the name of the private eye played by Trevor Eve on TV in the '70s?,Shoestring (TV series),allam,qwen,False,allam,Sonny Crockett,qwen,George Gently,2,2
What was the name of the private eye played by Trevor Eve on TV in the '70s?,Shoestring (TV series),llama,qwen,True,qwen,George Gently,llama,Sharon.,2,1
"Which country occupying 47% of South America has states including Amazonas, Sao Paulo, Bahia and Para?",Brazil,allam,llama,False,allam,Brazil,llama,Brazil.,1,1
"Which country occupying 47% of South America has states including Amazonas, Sao Paulo, Bahia and Para?",Brazil,allam,qwen,True,qwen,Brazil,allam,Brazil,1,1
"Which country occupying 47% of South America has states including Amazonas, Sao Paulo, Bahia and Para?",Brazil,llama,qwen,True,qwen,Brazil,llama,Brazil.,1,1
Which English town's Anglo Saxon name was Gipeswic pronounced Gipperswick,"Ipswich, UK",allam,llama,True,llama,Ipswich.,allam,Winchester,1,1
Which English town's Anglo Saxon name was Gipeswic pronounced Gipperswick,"Ipswich, UK",allam,qwen,False,allam,Winchester,qwen,Ipswich,1,1
Which English town's Anglo Saxon name was Gipeswic pronounced Gipperswick,"Ipswich, UK",llama,qwen,True,qwen,Ipswich,llama,Ipswich.,1,1
In which English county is there a town called Shitlingthorpe,County Yorkshire,allam,llama,True,llama,Lincolnshire.,allam,Lincolnshire,1,1
In which English county is there a town called Shitlingthorpe,County Yorkshire,allam,qwen,True,qwen,Lincolnshire,allam,Lincolnshire,1,1
In which English county is there a town called Shitlingthorpe,County Yorkshire,llama,qwen,True,qwen,Lincolnshire,llama,Lincolnshire.,1,1
What is the name of Humphrey Bogart’s character in the film ‘Casablanca’?,Rick Blaine,allam,llama,True,llama,Rick Blaine.,allam,Rick Blaine,2,2
What is the name of Humphrey Bogart’s character in the film ‘Casablanca’?,Rick Blaine,allam,qwen,True,qwen,Rick Blaine,allam,Rick Blaine,2,2
What is the name of Humphrey Bogart’s character in the film ‘Casablanca’?,Rick Blaine,llama,qwen,True,qwen,Rick Blaine,llama,Rick Blaine.,2,2
The archaeological site of the ancient city of Troy is in which country?,Turkey,allam,llama,True,llama,Turkey.,allam,Turkey,1,1
The archaeological site of the ancient city of Troy is in which country?,Turkey,allam,qwen,False,allam,Turkey,qwen,Turkey,1,1
The archaeological site of the ancient city of Troy is in which country?,Turkey,llama,qwen,False,llama,Turkey.,qwen,Turkey,1,1
‘The Crafty Cockney’ was the nickname of which British darts player?,Crafty Cockney,allam,llama,True,llama,Eric Bristow.,allam,Eric Bristow,2,2
‘The Crafty Cockney’ was the nickname of which British darts player?,Crafty Cockney,allam,qwen,True,qwen,John Part,allam,Eric Bristow,2,2
‘The Crafty Cockney’ was the nickname of which British darts player?,Crafty Cockney,llama,qwen,True,qwen,John Part,llama,Eric Bristow.,2,2
"In Greek legend, who turned everything he touched into gold ?",Midas and the Golden Touch,allam,llama,True,llama,Midas.,allam,King Midas,1,2
"In Greek legend, who turned everything he touched into gold ?",Midas and the Golden Touch,allam,qwen,False,allam,King Midas,qwen,Midas,2,1
"In Greek legend, who turned everything he touched into gold ?",Midas and the Golden Touch,llama,qwen,False,llama,Midas.,qwen,Midas,1,1
Which was the second British motorway,M1 (disambiguation),allam,llama,True,llama,M1.,allam,A406 North Circular Road,1,4
Which was the second British motorway,M1 (disambiguation),allam,qwen,True,qwen,M6,allam,A406 North Circular Road,1,4
Which was the second British motorway,M1 (disambiguation),llama,qwen,True,qwen,M6,llama,M1.,1,1
Dame Judi Dench and which other actress played the Widdington sisters in the 2004 film Ladies in Lavender?,Dame Maggie Smith,allam,llama,True,llama,Dame Judi Dench and Maggie Smith.,allam,Maggie Smith,6,2
Dame Judi Dench and which other actress played the Widdington sisters in the 2004 film Ladies in Lavender?,Dame Maggie Smith,allam,qwen,True,qwen,Peggy Ashcroft,allam,Maggie Smith,2,2
Dame Judi Dench and which other actress played the Widdington sisters in the 2004 film Ladies in Lavender?,Dame Maggie Smith,llama,qwen,True,qwen,Peggy Ashcroft,llama,Dame Judi Dench and Maggie Smith.,2,6
"In 1657, who turned down the opportunity to become King of England?",Cromwell,allam,llama,False,allam,Oliver Cromwell,llama,George Monck.,2,2
"In 1657, who turned down the opportunity to become King of England?",Cromwell,allam,qwen,False,allam,Oliver Cromwell,qwen,Oliver Cromwell,2,2
"In 1657, who turned down the opportunity to become King of England?",Cromwell,llama,qwen,True,qwen,Oliver Cromwell,llama,George Monck.,2,2
What is either a type of wood or an African-American magazine?,St Helena Ebony,allam,llama,False,allam,African-American magazine: Ebony.,llama,Ebony.,3,1
What is either a type of wood or an African-American magazine?,St Helena Ebony,allam,qwen,True,qwen,Ebony,allam,African-American magazine: Ebony.,1,3
What is either a type of wood or an African-American magazine?,St Helena Ebony,llama,qwen,False,llama,Ebony.,qwen,Ebony,1,1
Name the last US president to meet the leader of Cuba before Barack Obama did in 2015?,Eisenhower Dwight,allam,llama,False,allam,Bill Clinton,llama,Jimmy Carter.,2,2
Name the last US president to meet the leader of Cuba before Barack Obama did in 2015?,Eisenhower Dwight,allam,qwen,False,allam,Bill Clinton,qwen,Jimmy Carter,2,2
Name the last US president to meet the leader of Cuba before Barack Obama did in 2015?,Eisenhower Dwight,llama,qwen,False,llama,Jimmy Carter.,qwen,Jimmy Carter,2,2
Who did Princess Anne marry in 1992?,Sir Timothy Laurence,allam,llama,True,llama,Mark Phillips,allam,Captain Mark Phillips,2,3
Who did Princess Anne marry in 1992?,Sir Timothy Laurence,allam,qwen,False,allam,Captain Mark Phillips,qwen,She did not marry anyone in 1992,3,7
Who did Princess Anne marry in 1992?,Sir Timothy Laurence,llama,qwen,True,qwen,She did not marry anyone in 1992,llama,Mark Phillips,7,2
What was the Paramount Film Company originally called?,Raleigh Studios,allam,llama,False,allam,Famous Players-Lasky Corporation,llama,The Famous Players Film Company.,3,5
What was the Paramount Film Company originally called?,Raleigh Studios,allam,qwen,True,qwen,Famous Players Film Company,allam,Famous Players-Lasky Corporation,4,3
What was the Paramount Film Company originally called?,Raleigh Studios,llama,qwen,False,llama,The Famous Players Film Company.,qwen,Famous Players Film Company,5,4
Which British monarch was nicknamed ‘The Sailor King’?,William IV (disambiguation),allam,llama,False,allam,Charles II,llama,King William IV.,2,3
Which British monarch was nicknamed ‘The Sailor King’?,William IV (disambiguation),allam,qwen,False,allam,Charles II,qwen,King George V,2,3
Which British monarch was nicknamed ‘The Sailor King’?,William IV (disambiguation),llama,qwen,True,qwen,King George V,llama,King William IV.,3,3
What nationality was 19th Century author Hans Christian Anderson?,Danish,allam,llama,True,llama,Danish.,allam,Danish,1,1
What nationality was 19th Century author Hans Christian Anderson?,Danish,allam,qwen,False,allam,Danish,qwen,Danish,1,1
What nationality was 19th Century author Hans Christian Anderson?,Danish,llama,qwen,False,llama,Danish.,qwen,Danish,1,1
"Held at Max Yasgurs 600 acre dairy farm, what event, which opened on Aug 15, 1969, was billed as An Aquarian Exposition: 3 Days of Peace & Music?",Woodstock Music and Art Fair,allam,llama,True,llama,Woodstock Music and Art Fair.,allam,Woodstock,5,1
"Held at Max Yasgurs 600 acre dairy farm, what event, which opened on Aug 15, 1969, was billed as An Aquarian Exposition: 3 Days of Peace & Music?",Woodstock Music and Art Fair,allam,qwen,False,allam,Woodstock,qwen,Woodstock,1,1
"Held at Max Yasgurs 600 acre dairy farm, what event, which opened on Aug 15, 1969, was billed as An Aquarian Exposition: 3 Days of Peace & Music?",Woodstock Music and Art Fair,llama,qwen,False,llama,Woodstock Music and Art Fair.,qwen,Woodstock,5,1
Two counties in the Irish province of Munster begin with the letter C. One is Cork. Name the other.,CLARE,allam,llama,False,allam,Kerry,llama,Clare.,1,1
Two counties in the Irish province of Munster begin with the letter C. One is Cork. Name the other.,CLARE,allam,qwen,True,qwen,Clare,allam,Kerry,1,1
Two counties in the Irish province of Munster begin with the letter C. One is Cork. Name the other.,CLARE,llama,qwen,True,qwen,Clare,llama,Clare.,1,1
What is the largest natural lake in Wales,Lake Bala,allam,llama,False,allam,Llyn Tegid (Bala Lake),llama,Llyn Tegid.,4,2
What is the largest natural lake in Wales,Lake Bala,allam,qwen,False,allam,Llyn Tegid (Bala Lake),qwen,Llyn Tegid,4,2
What is the largest natural lake in Wales,Lake Bala,llama,qwen,True,qwen,Llyn Tegid,llama,Llyn Tegid.,2,2
The A23 road connects London to which coastal resort in East Sussex?,Brighthelmstone,allam,llama,False,allam,Brighton,llama,Eastbourne.,1,1
The A23 road connects London to which coastal resort in East Sussex?,Brighthelmstone,allam,qwen,False,allam,Brighton,qwen,Brighton,1,1
The A23 road connects London to which coastal resort in East Sussex?,Brighthelmstone,llama,qwen,True,qwen,Brighton,llama,Eastbourne.,1,1
"""From which Bob Dylan song does the following come: """"Now you don't talk so loud, now you don't seem so proud about havin' to be scrounging for your next meal""""?""",Like a rolling stone,allam,llama,False,allam,"""Blowin' in the Wind""",llama,"""Subterranean Homesick Blues""",4,3
"""From which Bob Dylan song does the following come: """"Now you don't talk so loud, now you don't seem so proud about havin' to be scrounging for your next meal""""?""",Like a rolling stone,allam,qwen,True,qwen,Subterranean Homesick Blues,allam,"""Blowin' in the Wind""",3,4
"""From which Bob Dylan song does the following come: """"Now you don't talk so loud, now you don't seem so proud about havin' to be scrounging for your next meal""""?""",Like a rolling stone,llama,qwen,True,qwen,Subterranean Homesick Blues,llama,"""Subterranean Homesick Blues""",3,3
Which fruit can go in the middle of the word aped to make a new word?,Pear (fruit),allam,llama,False,allam,Pea,llama,Apple.,1,1
Which fruit can go in the middle of the word aped to make a new word?,Pear (fruit),allam,qwen,False,allam,Pea,qwen,Pear,1,1
Which fruit can go in the middle of the word aped to make a new word?,Pear (fruit),llama,qwen,False,llama,Apple.,qwen,Pear,1,1
Which sought-after item was situated in the kingdom of Colchis?,Golden Fleece (disambiguation),allam,llama,False,allam,The Golden Fleece.,llama,The Golden Fleece.,3,3
Which sought-after item was situated in the kingdom of Colchis?,Golden Fleece (disambiguation),allam,qwen,False,allam,The Golden Fleece.,qwen,The Golden Fleece,3,3
Which sought-after item was situated in the kingdom of Colchis?,Golden Fleece (disambiguation),llama,qwen,True,qwen,The Golden Fleece,llama,The Golden Fleece.,3,3
Where exactly is the tallest habitable building located in the UK? It is 50 stories high with a height of 235 metres (771 feet) and was completed in 1991?,"Canary Wharf, London",allam,llama,True,llama,"One Canada Square in Canary Wharf, London.",allam,"The tallest habitable building in the UK is the Shard, located in London. It is 309.6 metres (1,015 feet) tall and completed in 2012.",7,24
Where exactly is the tallest habitable building located in the UK? It is 50 stories high with a height of 235 metres (771 feet) and was completed in 1991?,"Canary Wharf, London",allam,qwen,False,allam,"The tallest habitable building in the UK is the Shard, located in London. It is 309.6 metres (1,015 feet) tall and completed in 2012.",qwen,The City of London,24,4
Where exactly is the tallest habitable building located in the UK? It is 50 stories high with a height of 235 metres (771 feet) and was completed in 1991?,"Canary Wharf, London",llama,qwen,False,llama,"One Canada Square in Canary Wharf, London.",qwen,The City of London,7,4
"Used in cooking, agar-agar is a gelatin made from what?",Macroalgal,allam,llama,False,allam,Seaweed,llama,Red algae.,1,2
"Used in cooking, agar-agar is a gelatin made from what?",Macroalgal,allam,qwen,False,allam,Seaweed,qwen,Seaweed,1,1
"Used in cooking, agar-agar is a gelatin made from what?",Macroalgal,llama,qwen,True,qwen,Seaweed,llama,Red algae.,1,2
Who was named the best player at Euro 2012 by UEFA ?,Andrés Iniesta Luján,allam,llama,True,llama,Andres Iniesta.,allam,Andriy Shevchenko,2,2
Who was named the best player at Euro 2012 by UEFA ?,Andrés Iniesta Luján,allam,qwen,False,allam,Andriy Shevchenko,qwen,Andrés Iniesta,2,2
Who was named the best player at Euro 2012 by UEFA ?,Andrés Iniesta Luján,llama,qwen,True,qwen,Andrés Iniesta,llama,Andres Iniesta.,2,2
Which company was built into a world-wide organisation by Ray Kroc?,Mackey D's,allam,llama,False,allam,McDonald's,llama,McDonald's.,1,1
Which company was built into a world-wide organisation by Ray Kroc?,Mackey D's,allam,qwen,True,qwen,McDonald's,allam,McDonald's,1,1
Which company was built into a world-wide organisation by Ray Kroc?,Mackey D's,llama,qwen,True,qwen,McDonald's,llama,McDonald's.,1,1
"Perhaps foreshadowing recent events in Ukraine, over what region of the Southern Caucasus did Russia and Georgia go to war in 2008?",Tskhinvali region,allam,llama,True,llama,South Ossetia.,allam,South Ossetia,2,2
"Perhaps foreshadowing recent events in Ukraine, over what region of the Southern Caucasus did Russia and Georgia go to war in 2008?",Tskhinvali region,allam,qwen,False,allam,South Ossetia,qwen,South Ossetia,2,2
"Perhaps foreshadowing recent events in Ukraine, over what region of the Southern Caucasus did Russia and Georgia go to war in 2008?",Tskhinvali region,llama,qwen,True,qwen,South Ossetia,llama,South Ossetia.,2,2
Which country was the birthplace of Henry V111’s first wife Catherine Of Aragon ?,Islands of Spain,allam,llama,True,llama,Spain.,allam,Spain,1,1
Which country was the birthplace of Henry V111’s first wife Catherine Of Aragon ?,Islands of Spain,allam,qwen,True,qwen,Spain,allam,Spain,1,1
Which country was the birthplace of Henry V111’s first wife Catherine Of Aragon ?,Islands of Spain,llama,qwen,True,qwen,Spain,llama,Spain.,1,1
What type of animal was Bambi's friend Flower?,Wood pussy,allam,llama,False,allam,Flower was a rabbit.,llama,Skunk.,4,1
What type of animal was Bambi's friend Flower?,Wood pussy,allam,qwen,True,qwen,Raccoon,allam,Flower was a rabbit.,1,4
What type of animal was Bambi's friend Flower?,Wood pussy,llama,qwen,True,qwen,Raccoon,llama,Skunk.,1,1
"In Only Fools And Horses, Rodney Trotter shares his middle name with which London football club?",Charlton (disambiguation),allam,llama,True,llama,Tottenham.,allam,Tottenham Hotspur,1,2
"In Only Fools And Horses, Rodney Trotter shares his middle name with which London football club?",Charlton (disambiguation),allam,qwen,True,qwen,Chelsea,allam,Tottenham Hotspur,1,2
"In Only Fools And Horses, Rodney Trotter shares his middle name with which London football club?",Charlton (disambiguation),llama,qwen,True,qwen,Chelsea,llama,Tottenham.,1,1
Who played the role of George Carter in The Sweeney?,Dennis Waterman,allam,llama,False,allam,Richard Burton,llama,John Thaw,2,2
Who played the role of George Carter in The Sweeney?,Dennis Waterman,allam,qwen,False,allam,Richard Burton,qwen,John Thaw,2,2
Who played the role of George Carter in The Sweeney?,Dennis Waterman,llama,qwen,True,qwen,John Thaw,llama,John Thaw,2,2
"Which Frenchman, a football administrator and head of FIFA from 1921 to1954 is regarded as the founder of the football World Cup?",Jules Rimet,allam,llama,False,allam,Jules Rimet,llama,Jules Rimet.,2,2
"Which Frenchman, a football administrator and head of FIFA from 1921 to1954 is regarded as the founder of the football World Cup?",Jules Rimet,allam,qwen,False,allam,Jules Rimet,qwen,Jules Rimet,2,2
"Which Frenchman, a football administrator and head of FIFA from 1921 to1954 is regarded as the founder of the football World Cup?",Jules Rimet,llama,qwen,False,llama,Jules Rimet.,qwen,Jules Rimet,2,2
"Because he held the earth on his shoulders, for what Greek figure did Gerardus Mercator name his book of maps?",Atlases,allam,llama,True,llama,Atlas.,allam,Atlas,1,1
"Because he held the earth on his shoulders, for what Greek figure did Gerardus Mercator name his book of maps?",Atlases,allam,qwen,True,qwen,Atlas,allam,Atlas,1,1
"Because he held the earth on his shoulders, for what Greek figure did Gerardus Mercator name his book of maps?",Atlases,llama,qwen,False,llama,Atlas.,qwen,Atlas,1,1
Which sauce made from ham drippings and coffee and seen in the cuisine of the Southern United States gets its name from its appearance like that of a certain body organ?,Redeye gravy,allam,llama,True,llama,Liver sauce.,allam,Brunswick stew,2,2
Which sauce made from ham drippings and coffee and seen in the cuisine of the Southern United States gets its name from its appearance like that of a certain body organ?,Redeye gravy,allam,qwen,False,allam,Brunswick stew,qwen,Livermush,2,1
Which sauce made from ham drippings and coffee and seen in the cuisine of the Southern United States gets its name from its appearance like that of a certain body organ?,Redeye gravy,llama,qwen,False,llama,Liver sauce.,qwen,Livermush,2,1
In which part of the human body can you find the Malleus or Hammer bone ?,THE EAR,allam,llama,True,llama,The ear.,allam,Ear (tympanic membrane),2,3
In which part of the human body can you find the Malleus or Hammer bone ?,THE EAR,allam,qwen,True,qwen,The middle ear,allam,Ear (tympanic membrane),3,3
In which part of the human body can you find the Malleus or Hammer bone ?,THE EAR,llama,qwen,True,qwen,The middle ear,llama,The ear.,3,2
Who was the Georgia Peach?,"Cobb, Ty",allam,llama,True,llama,Ty Cobb.,allam,"Rachael ""Georgia Peach"" Robinson (1942–2007) was an American professional wrestler.",2,10
Who was the Georgia Peach?,"Cobb, Ty",allam,qwen,True,qwen,Frank Sinatra,allam,"Rachael ""Georgia Peach"" Robinson (1942–2007) was an American professional wrestler.",2,10
Who was the Georgia Peach?,"Cobb, Ty",llama,qwen,False,llama,Ty Cobb.,qwen,Frank Sinatra,2,2
Matt Busby played for Manchester City from 1928 to 1936. Which club did he play for from 1936 to 1941?,Liverpudlian,allam,llama,True,llama,Liverpool.,allam,Manchester United,1,2
Matt Busby played for Manchester City from 1928 to 1936. Which club did he play for from 1936 to 1941?,Liverpudlian,allam,qwen,False,allam,Manchester United,qwen,Manchester United,2,2
Matt Busby played for Manchester City from 1928 to 1936. Which club did he play for from 1936 to 1941?,Liverpudlian,llama,qwen,False,llama,Liverpool.,qwen,Manchester United,1,2
"What 1989 best picture Oscar winning movie, based on a play by Alfred Uhry, and co-starring Morgan Freeman, gave Jessica Tandy, at age 80, the award for Best Actress, the oldest winner in history?",Miss Daisy,allam,llama,True,llama,Driving Miss Daisy.,allam,Driving Miss Daisy,3,3
"What 1989 best picture Oscar winning movie, based on a play by Alfred Uhry, and co-starring Morgan Freeman, gave Jessica Tandy, at age 80, the award for Best Actress, the oldest winner in history?",Miss Daisy,allam,qwen,True,qwen,Driving Miss Daisy,allam,Driving Miss Daisy,3,3
"What 1989 best picture Oscar winning movie, based on a play by Alfred Uhry, and co-starring Morgan Freeman, gave Jessica Tandy, at age 80, the award for Best Actress, the oldest winner in history?",Miss Daisy,llama,qwen,False,llama,Driving Miss Daisy.,qwen,Driving Miss Daisy,3,3
"""Which boxer famously said,"""" If I can't beat this bum take my name off the record books?""""""",Rocco Marchegiano,allam,llama,False,allam,Muhammad Ali.,llama,Rocky Marciano.,2,2
"""Which boxer famously said,"""" If I can't beat this bum take my name off the record books?""""""",Rocco Marchegiano,allam,qwen,True,qwen,Muhammad Ali,allam,Muhammad Ali.,2,2
"""Which boxer famously said,"""" If I can't beat this bum take my name off the record books?""""""",Rocco Marchegiano,llama,qwen,True,qwen,Muhammad Ali,llama,Rocky Marciano.,2,2
Which ‘P’ describes the chasing pack in a cycling race?,Pelaton,allam,llama,False,allam,Pursuit,llama,Peloton.,1,1
Which ‘P’ describes the chasing pack in a cycling race?,Pelaton,allam,qwen,False,allam,Pursuit,qwen,Peloton,1,1
Which ‘P’ describes the chasing pack in a cycling race?,Pelaton,llama,qwen,False,llama,Peloton.,qwen,Peloton,1,1
On which British holiday did the 2004 tsunami occur?,Second Christmas Day,allam,llama,False,allam,Boxing Day,llama,Boxing Day.,2,2
On which British holiday did the 2004 tsunami occur?,Second Christmas Day,allam,qwen,True,qwen,Boxing Day,allam,Boxing Day,2,2
On which British holiday did the 2004 tsunami occur?,Second Christmas Day,llama,qwen,True,qwen,Boxing Day,llama,Boxing Day.,2,2
The 2014 'Bendgate' controversy/publicity concerned version 6 of which famous product?,Bendgate,allam,llama,True,llama,Apple iPhone.,allam,iPhone,2,1
The 2014 'Bendgate' controversy/publicity concerned version 6 of which famous product?,Bendgate,allam,qwen,True,qwen,iPhone 6 Plus,allam,iPhone,3,1
The 2014 'Bendgate' controversy/publicity concerned version 6 of which famous product?,Bendgate,llama,qwen,True,qwen,iPhone 6 Plus,llama,Apple iPhone.,3,2
What is the 3rd largest car rental company in the United States?,The alamo,allam,llama,False,allam,Enterprise Rent-A-Car,llama,Enterprise Rent-A-Car.,2,2
What is the 3rd largest car rental company in the United States?,The alamo,allam,qwen,False,allam,Enterprise Rent-A-Car,qwen,Enterprise Rent-A-Car,2,2
What is the 3rd largest car rental company in the United States?,The alamo,llama,qwen,True,qwen,Enterprise Rent-A-Car,llama,Enterprise Rent-A-Car.,2,2
Who was the first African American holder of the world heavyweight boxing title?,Jack Johnson,allam,llama,True,llama,Jack Johnson.,allam,Muhammad Ali,2,2
Who was the first African American holder of the world heavyweight boxing title?,Jack Johnson,allam,qwen,False,allam,Muhammad Ali,qwen,Joe Louis,2,2
Who was the first African American holder of the world heavyweight boxing title?,Jack Johnson,llama,qwen,False,llama,Jack Johnson.,qwen,Joe Louis,2,2
"From which country do French fries originate? France, Belgium or Switzerland?",ISO 3166-1:CH,allam,llama,False,allam,France,llama,Belgium.,1,1
"From which country do French fries originate? France, Belgium or Switzerland?",ISO 3166-1:CH,allam,qwen,True,qwen,Belgium,allam,France,1,1
"From which country do French fries originate? France, Belgium or Switzerland?",ISO 3166-1:CH,llama,qwen,False,llama,Belgium.,qwen,Belgium,1,1
"""What Latin expression means """"Seize the Day""""?""",Carpe diem quam minimum credula postero,allam,llama,True,llama,"""Carpe Diem.""",allam,Carpe diem,2,2
"""What Latin expression means """"Seize the Day""""?""",Carpe diem quam minimum credula postero,allam,qwen,True,qwen,Carpe Diem,allam,Carpe diem,2,2
"""What Latin expression means """"Seize the Day""""?""",Carpe diem quam minimum credula postero,llama,qwen,False,llama,"""Carpe Diem.""",qwen,Carpe Diem,2,2
"Which film about a submarine had as one of its stars Denzil Washington, whose character had violent disagreements with his Captain played by Gene Hackman?",'CRIMSON TIDE',allam,llama,True,llama,Crimson Tide.,allam,"The film is ""The Siege"" (1998), which stars Denzel Washington and Gene Hackman. The Siege is a 1998 American political thriller film directed by Tony Scott and starring Denzel Washington, Bruce",2,31
"Which film about a submarine had as one of its stars Denzil Washington, whose character had violent disagreements with his Captain played by Gene Hackman?",'CRIMSON TIDE',allam,qwen,False,allam,"The film is ""The Siege"" (1998), which stars Denzel Washington and Gene Hackman. The Siege is a 1998 American political thriller film directed by Tony Scott and starring Denzel Washington, Bruce",qwen,Crimson Tide,31,2
"Which film about a submarine had as one of its stars Denzil Washington, whose character had violent disagreements with his Captain played by Gene Hackman?",'CRIMSON TIDE',llama,qwen,False,llama,Crimson Tide.,qwen,Crimson Tide,2,2
Which was the first commercial jet airliner to go into service in the UK?,Cometary nuclei,allam,llama,True,llama,de Havilland Comet.,allam,De Havilland Comet,3,3
