judge_model,question,correct_answer,model_a,model_b,swapped,first_model,second_model,first_answer,second_answer,first_length_words,second_length_words,raw_verdict,choice,winner_model,confidence,correct_match,parse_method,response_time
llama,Which Shakespeare play begins 'Now is the winter of our discontent'?,"Richard III, King of England",allam,llama,False,allam,llama,Richard III,Richard III.,2,2,"Choice: 1
Confidence: 5",1,allam,5,True,labeled,0.14
qwen,Which Shakespeare play begins 'Now is the winter of our discontent'?,"Richard III, King of England",allam,llama,False,allam,llama,Richard III,Richard III.,2,2,"Choice: 1
Confidence: 5",1,allam,5,True,labeled,0.09
allam,Which Shakespeare play begins 'Now is the winter of our discontent'?,"Richard III, King of England",allam,llama,False,allam,llama,Richard III,Richard III.,2,2,"Choice: 1
Confidence: 4",1,allam,4,True,labeled,0.34
llama,Which Shakespeare play begins 'Now is the winter of our discontent'?,"Richard III, King of England",allam,qwen,True,qwen,allam,Richard III,Richard III,2,2,"Choice: 1
Confidence: 5",1,qwen,5,True,labeled,0.15
qwen,Which Shakespeare play begins 'Now is the winter of our discontent'?,"Richard III, King of England",allam,qwen,True,qwen,allam,Richard III,Richard III,2,2,"Choice: 1
Confidence: 5",1,qwen,5,True,labeled,0.08
allam,Which Shakespeare play begins 'Now is the winter of our discontent'?,"Richard III, King of England",allam,qwen,True,qwen,allam,Richard III,Richard III,2,2,"Choice: 1
Confidence: 4",1,qwen,4,True,labeled,0.37
llama,Which Shakespeare play begins 'Now is the winter of our discontent'?,"Richard III, King of England",llama,qwen,False,llama,qwen,Richard III.,Richard III,2,2,"Choice: 1
Confidence: 5",1,llama,5,False,labeled,0.3
qwen,Which Shakespeare play begins 'Now is the winter of our discontent'?,"Richard III, King of England",llama,qwen,False,llama,qwen,Richard III.,Richard III,2,2,"Choice: 1
Confidence: 5",1,llama,5,False,labeled,0.09
allam,Which Shakespeare play begins 'Now is the winter of our discontent'?,"Richard III, King of England",llama,qwen,False,llama,qwen,Richard III.,Richard III,2,2,"Choice: 1
Confidence: 4",1,llama,4,False,labeled,0.39
llama,Which geological perioed falls between the Triassic and the Cretaceous periods?,Dinosaur types of the jurassic,allam,llama,False,allam,llama,Jurassic Period,Jurassic period.,2,2,"Choice: 1
Confidence: 5",1,allam,5,False,labeled,0.44
qwen,Which geological perioed falls between the Triassic and the Cretaceous periods?,Dinosaur types of the jurassic,allam,llama,False,allam,llama,Jurassic Period,Jurassic period.,2,2,"Choice: 1
Confidence: 5",1,allam,5,False,labeled,0.09
allam,Which geological perioed falls between the Triassic and the Cretaceous periods?,Dinosaur types of the jurassic,allam,llama,False,allam,llama,Jurassic Period,Jurassic period.,2,2,"Choice: 1
Confidence: 4",1,allam,4,False,labeled,0.32
llama,Which geological perioed falls between the Triassic and the Cretaceous periods?,Dinosaur types of the jurassic,allam,qwen,True,qwen,allam,Jurassic,Jurassic Period,1,2,"Choice: 1
Confidence: 5",1,qwen,5,True,labeled,0.21
qwen,Which geological perioed falls between the Triassic and the Cretaceous periods?,Dinosaur types of the jurassic,allam,qwen,True,qwen,allam,Jurassic,Jurassic Period,1,2,"Choice: 1
Confidence: 5",1,qwen,5,True,labeled,0.16
allam,Which geological perioed falls between the Triassic and the Cretaceous periods?,Dinosaur types of the jurassic,allam,qwen,True,qwen,allam,Jurassic,Jurassic Period,1,2,"Choice: 1
Confidence: 4",1,qwen,4,True,labeled,0.3
llama,Which geological perioed falls between the Triassic and the Cretaceous periods?,Dinosaur types of the jurassic,llama,qwen,True,qwen,llama,Jurassic,Jurassic period.,1,2,"Choice: 1
Confidence: 5",1,qwen,5,True,labeled,0.16
qwen,Which geological perioed falls between the Triassic and the Cretaceous periods?,Dinosaur types of the jurassic,llama,qwen,True,qwen,llama,Jurassic,Jurassic period.,1,2,"Choice: 1
Confidence: 5",1,qwen,5,True,labeled,0.07
allam,Which geological perioed falls between the Triassic and the Cretaceous periods?,Dinosaur types of the jurassic,llama,qwen,True,qwen,llama,Jurassic,Jurassic period.,1,2,"Choice: 1
Confidence: 4",1,qwen,4,True,labeled,0.39
llama,Justine Thornton is the fiancee of which politician?,Red Ed,allam,llama,False,allam,llama,Jeremy Corbyn,Ed Miliband.,2,2,"Choice: 2
Confidence: 5",2,llama,5,False,labeled,0.35
qwen,Justine Thornton is the fiancee of which politician?,Red Ed,allam,llama,False,allam,llama,Jeremy Corbyn,Ed Miliband.,2,2,"Choice: 2
Confidence: 5",2,llama,5,False,labeled,0.07
allam,Justine Thornton is the fiancee of which politician?,Red Ed,allam,llama,False,allam,llama,Jeremy Corbyn,Ed Miliband.,2,2,"Choice: 1
Confidence: 4",1,allam,4,False,labeled,0.31
llama,Justine Thornton is the fiancee of which politician?,Red Ed,allam,qwen,True,qwen,allam,John F. Kennedy,Jeremy Corbyn,3,2,"Choice: 2
Confidence: 5",2,allam,5,False,labeled,0.15
qwen,Justine Thornton is the fiancee of which politician?,Red Ed,allam,qwen,True,qwen,allam,John F. Kennedy,Jeremy Corbyn,3,2,"Choice: 2
Confidence: 5",2,allam,5,False,labeled,0.08
allam,Justine Thornton is the fiancee of which politician?,Red Ed,allam,qwen,True,qwen,allam,John F. Kennedy,Jeremy Corbyn,3,2,"Choice: 1
Confidence: 4",1,qwen,4,False,labeled,0.35
llama,Justine Thornton is the fiancee of which politician?,Red Ed,llama,qwen,True,qwen,llama,John F. Kennedy,Ed Miliband.,3,2,"Choice: 2
Confidence: 5",2,llama,5,False,labeled,0.14
qwen,Justine Thornton is the fiancee of which politician?,Red Ed,llama,qwen,True,qwen,llama,John F. Kennedy,Ed Miliband.,3,2,"Choice: 2
Confidence: 5",2,llama,5,False,labeled,0.08
allam,Justine Thornton is the fiancee of which politician?,Red Ed,llama,qwen,True,qwen,llama,John F. Kennedy,Ed Miliband.,3,2,"Choice: 1
Confidence: 4",1,qwen,4,False,labeled,0.37
llama,In which county would you find Chesil Beach?,County of Dorset,allam,llama,True,llama,allam,Dorset.,Dorset,1,1,"Choice: 1
Confidence: 5",1,llama,5,False,labeled,0.15
qwen,In which county would you find Chesil Beach?,County of Dorset,allam,llama,True,llama,allam,Dorset.,Dorset,1,1,"Choice: 1
Confidence: 5",1,llama,5,False,labeled,0.08
allam,In which county would you find Chesil Beach?,County of Dorset,allam,llama,True,llama,allam,Dorset.,Dorset,1,1,"Choice: 1
Confidence: 4",1,llama,4,False,labeled,0.29
llama,In which county would you find Chesil Beach?,County of Dorset,allam,qwen,True,qwen,allam,Dorset,Dorset,1,1,"Choice: 1
Confidence: 5",1,qwen,5,True,labeled,0.34
qwen,In which county would you find Chesil Beach?,County of Dorset,allam,qwen,True,qwen,allam,Dorset,Dorset,1,1,"Choice: Neither
Confidence: 5",NEITHER,NEITHER,5,,labeled,0.33
allam,In which county would you find Chesil Beach?,County of Dorset,allam,qwen,True,qwen,allam,Dorset,Dorset,1,1,"Choice: 1
Confidence: 4",1,qwen,4,True,labeled,0.29
llama,In which county would you find Chesil Beach?,County of Dorset,llama,qwen,False,llama,qwen,Dorset.,Dorset,1,1,"Choice: 1
Confidence: 5",1,llama,5,False,labeled,0.13
qwen,In which county would you find Chesil Beach?,County of Dorset,llama,qwen,False,llama,qwen,Dorset.,Dorset,1,1,"Choice: 1
Confidence: 5",1,llama,5,False,labeled,0.42
allam,In which county would you find Chesil Beach?,County of Dorset,llama,qwen,False,llama,qwen,Dorset.,Dorset,1,1,"Choice: 1
Confidence: 4",1,llama,4,False,labeled,0.36
llama,"""Who duetted with Bryan Adams on the 1985 hit """"It's Only Love""""?""",Anna Bullock,allam,llama,False,allam,llama,Tina Turner,Tina Turner.,2,2,"Choice: 1
Confidence: 5",1,allam,5,False,labeled,0.25
qwen,"""Who duetted with Bryan Adams on the 1985 hit """"It's Only Love""""?""",Anna Bullock,allam,llama,False,allam,llama,Tina Turner,Tina Turner.,2,2,"Choice: 1
Confidence: 5",1,allam,5,False,labeled,0.09
allam,"""Who duetted with Bryan Adams on the 1985 hit """"It's Only Love""""?""",Anna Bullock,allam,llama,False,allam,llama,Tina Turner,Tina Turner.,2,2,"Choice: 1
Confidence: 4",1,allam,4,False,labeled,0.28
llama,"""Who duetted with Bryan Adams on the 1985 hit """"It's Only Love""""?""",Anna Bullock,allam,qwen,True,qwen,allam,Rod Stewart,Tina Turner,2,2,"Choice: 2
Confidence: 5",2,allam,5,False,labeled,0.13
qwen,"""Who duetted with Bryan Adams on the 1985 hit """"It's Only Love""""?""",Anna Bullock,allam,qwen,True,qwen,allam,Rod Stewart,Tina Turner,2,2,"Choice: 1
Confidence: 5",1,qwen,5,False,labeled,0.09
allam,"""Who duetted with Bryan Adams on the 1985 hit """"It's Only Love""""?""",Anna Bullock,allam,qwen,True,qwen,allam,Rod Stewart,Tina Turner,2,2,"Choice: 1
Confidence: 4",1,qwen,4,False,labeled,0.31
llama,"""Who duetted with Bryan Adams on the 1985 hit """"It's Only Love""""?""",Anna Bullock,llama,qwen,False,llama,qwen,Tina Turner.,Rod Stewart,2,2,"Choice: 1
Confidence: 5",1,llama,5,False,labeled,0.14
qwen,"""Who duetted with Bryan Adams on the 1985 hit """"It's Only Love""""?""",Anna Bullock,llama,qwen,False,llama,qwen,Tina Turner.,Rod Stewart,2,2,"Choice: 2
Confidence: 5",2,qwen,5,False,labeled,0.09
allam,"""Who duetted with Bryan Adams on the 1985 hit """"It's Only Love""""?""",Anna Bullock,llama,qwen,False,llama,qwen,Tina Turner.,Rod Stewart,2,2,"Choice: 1
Confidence: 4",1,llama,4,False,labeled,0.35
llama,Chi is the Chinese year of what?,Cock (disambiguation),allam,llama,True,llama,allam,The Water Snake.,"Rat (摩登, Módéng)",3,3,"Choice: 2
Confidence: 5",2,allam,5,False,labeled,0.16
qwen,Chi is the Chinese year of what?,Cock (disambiguation),allam,llama,True,llama,allam,The Water Snake.,"Rat (摩登, Módéng)",3,3,"Choice: 1
Confidence: 5",1,llama,5,False,labeled,0.1
allam,Chi is the Chinese year of what?,Cock (disambiguation),allam,llama,True,llama,allam,The Water Snake.,"Rat (摩登, Módéng)",3,3,"Choice: 1
Confidence: 4",1,llama,4,False,labeled,0.38
llama,Chi is the Chinese year of what?,Cock (disambiguation),allam,qwen,True,qwen,allam,Rooster,"Rat (摩登, Módéng)",1,3,"Choice: 2
Confidence: 5",2,allam,5,False,labeled,0.15
qwen,Chi is the Chinese year of what?,Cock (disambiguation),allam,qwen,True,qwen,allam,Rooster,"Rat (摩登, Módéng)",1,3,"Choice: 1
Confidence: 5",1,qwen,5,False,labeled,0.09
allam,Chi is the Chinese year of what?,Cock (disambiguation),allam,qwen,True,qwen,allam,Rooster,"Rat (摩登, Módéng)",1,3,"Choice: 1
Confidence: 4",1,qwen,4,False,labeled,0.27
llama,Chi is the Chinese year of what?,Cock (disambiguation),llama,qwen,False,llama,qwen,The Water Snake.,Rooster,3,1,"Choice: Neither
Confidence: 5",NEITHER,NEITHER,5,,labeled,0.14
qwen,Chi is the Chinese year of what?,Cock (disambiguation),llama,qwen,False,llama,qwen,The Water Snake.,Rooster,3,1,"Choice: 1
Confidence: 5",1,llama,5,False,labeled,0.16
allam,Chi is the Chinese year of what?,Cock (disambiguation),llama,qwen,False,llama,qwen,The Water Snake.,Rooster,3,1,"Choice: 1
Confidence: 4",1,llama,4,False,labeled,0.34
llama,Who was the second wife of Henry VIII?,Anne Boylen,allam,llama,False,allam,llama,Anne of Cleves,Anne Boleyn.,3,2,"Choice: 1
Confidence: 5",1,allam,5,False,labeled,0.23
qwen,Who was the second wife of Henry VIII?,Anne Boylen,allam,llama,False,allam,llama,Anne of Cleves,Anne Boleyn.,3,2,"Choice: 2
Confidence: 5",2,llama,5,False,labeled,0.16
allam,Who was the second wife of Henry VIII?,Anne Boylen,allam,llama,False,allam,llama,Anne of Cleves,Anne Boleyn.,3,2,"Choice: 1
Confidence: 3",1,allam,3,False,labeled,0.36
llama,Who was the second wife of Henry VIII?,Anne Boylen,allam,qwen,True,qwen,allam,Anne Boleyn,Anne of Cleves,2,3,"Choice: 2
Confidence: 5",2,allam,5,False,labeled,0.15
qwen,Who was the second wife of Henry VIII?,Anne Boylen,allam,qwen,True,qwen,allam,Anne Boleyn,Anne of Cleves,2,3,"Choice: 1
Confidence: 5",1,qwen,5,False,labeled,0.12
allam,Who was the second wife of Henry VIII?,Anne Boylen,allam,qwen,True,qwen,allam,Anne Boleyn,Anne of Cleves,2,3,"Choice: 1
Confidence: 4",1,qwen,4,False,labeled,0.27
llama,Who was the second wife of Henry VIII?,Anne Boylen,llama,qwen,False,llama,qwen,Anne Boleyn.,Anne Boleyn,2,2,"Choice: Neither
Confidence: 5",NEITHER,NEITHER,5,,labeled,0.34
qwen,Who was the second wife of Henry VIII?,Anne Boylen,llama,qwen,False,llama,qwen,Anne Boleyn.,Anne Boleyn,2,2,"Choice: 1
Confidence: 5",1,llama,5,False,labeled,0.11
allam,Who was the second wife of Henry VIII?,Anne Boylen,llama,qwen,False,llama,qwen,Anne Boleyn.,Anne Boleyn,2,2,"Choice: 1
Confidence: 4",1,llama,4,False,labeled,0.26
llama,Who wrote The female of the species more deadly than the male?,Joseph Rudyard Kipling,allam,llama,True,llama,allam,Rudyard Kipling.,Rudyard Kipling,2,2,"Choice: 1
Confidence: 5",1,llama,5,False,labeled,0.14
qwen,Who wrote The female of the species more deadly than the male?,Joseph Rudyard Kipling,allam,llama,True,llama,allam,Rudyard Kipling.,Rudyard Kipling,2,2,"Choice: 1
Confidence: 5",1,llama,5,False,labeled,0.15
allam,Who wrote The female of the species more deadly than the male?,Joseph Rudyard Kipling,allam,llama,True,llama,allam,Rudyard Kipling.,Rudyard Kipling,2,2,"Choice: 1
Confidence: 4",1,llama,4,False,labeled,0.26
llama,Who wrote The female of the species more deadly than the male?,Joseph Rudyard Kipling,allam,qwen,False,allam,qwen,Rudyard Kipling,Rudyard Kipling,2,2,"Choice: 1
Confidence: 5",1,allam,5,True,labeled,0.18
qwen,Who wrote The female of the species more deadly than the male?,Joseph Rudyard Kipling,allam,qwen,False,allam,qwen,Rudyard Kipling,Rudyard Kipling,2,2,"Choice: 1
Confidence: 5",1,allam,5,True,labeled,0.15
allam,Who wrote The female of the species more deadly than the male?,Joseph Rudyard Kipling,allam,qwen,False,allam,qwen,Rudyard Kipling,Rudyard Kipling,2,2,"Choice: 1
Confidence: 4",1,allam,4,True,labeled,0.29
llama,Who wrote The female of the species more deadly than the male?,Joseph Rudyard Kipling,llama,qwen,False,llama,qwen,Rudyard Kipling.,Rudyard Kipling,2,2,"Choice: 1
Confidence: 5",1,llama,5,False,labeled,0.16
qwen,Who wrote The female of the species more deadly than the male?,Joseph Rudyard Kipling,llama,qwen,False,llama,qwen,Rudyard Kipling.,Rudyard Kipling,2,2,"Choice: 1
Confidence: 5",1,llama,5,False,labeled,0.1
allam,Who wrote The female of the species more deadly than the male?,Joseph Rudyard Kipling,llama,qwen,False,llama,qwen,Rudyard Kipling.,Rudyard Kipling,2,2,"Choice: 1
Confidence: 4",1,llama,4,False,labeled,0.28
llama,In Hanna and Barbera's TV cartoons base on The Addams Family who was the voice of Gomez?,John Astin,allam,llama,True,llama,allam,John Astin,Romper Room,2,2,"Choice: 1
Confidence: 5",1,llama,5,True,labeled,0.12
qwen,In Hanna and Barbera's TV cartoons base on The Addams Family who was the voice of Gomez?,John Astin,allam,llama,True,llama,allam,John Astin,Romper Room,2,2,"Choice: 1
Confidence: 5",1,llama,5,True,labeled,0.1
allam,In Hanna and Barbera's TV cartoons base on The Addams Family who was the voice of Gomez?,John Astin,allam,llama,True,llama,allam,John Astin,Romper Room,2,2,"Choice: 1
Confidence: 4",1,llama,4,True,labeled,0.27
llama,In Hanna and Barbera's TV cartoons base on The Addams Family who was the voice of Gomez?,John Astin,allam,qwen,True,qwen,allam,John Astin,Romper Room,2,2,"Choice: 1
Confidence: 5",1,qwen,5,True,labeled,0.16
qwen,In Hanna and Barbera's TV cartoons base on The Addams Family who was the voice of Gomez?,John Astin,allam,qwen,True,qwen,allam,John Astin,Romper Room,2,2,"Choice: 1
Confidence: 5",1,qwen,5,True,labeled,0.36
allam,In Hanna and Barbera's TV cartoons base on The Addams Family who was the voice of Gomez?,John Astin,allam,qwen,True,qwen,allam,John Astin,Romper Room,2,2,"Choice: 1
Confidence: 4",1,qwen,4,True,labeled,0.28
llama,In Hanna and Barbera's TV cartoons base on The Addams Family who was the voice of Gomez?,John Astin,llama,qwen,True,qwen,llama,John Astin,John Astin,2,2,"Choice: 1
Confidence: 5",1,qwen,5,True,labeled,0.14
qwen,In Hanna and Barbera's TV cartoons base on The Addams Family who was the voice of Gomez?,John Astin,llama,qwen,True,qwen,llama,John Astin,John Astin,2,2,"Choice: 1
Confidence: 5",1,qwen,5,True,labeled,0.1
allam,In Hanna and Barbera's TV cartoons base on The Addams Family who was the voice of Gomez?,John Astin,llama,qwen,True,qwen,llama,John Astin,John Astin,2,2,"Choice: 1
Confidence: 4",1,qwen,4,True,labeled,0.27
llama,"Originating in early central American culture, where on the body would a huarache be worn?",Foot fracture,allam,llama,False,allam,llama,Feet.,On the foot.,1,3,"Choice: 1
Confidence: 5",1,allam,5,False,labeled,0.18
qwen,"Originating in early central American culture, where on the body would a huarache be worn?",Foot fracture,allam,llama,False,allam,llama,Feet.,On the foot.,1,3,"Choice: 1
Confidence: 5",1,allam,5,False,labeled,0.1
allam,"Originating in early central American culture, where on the body would a huarache be worn?",Foot fracture,allam,llama,False,allam,llama,Feet.,On the foot.,1,3,"Choice: 1
Confidence: 4",1,allam,4,False,labeled,0.34
llama,"Originating in early central American culture, where on the body would a huarache be worn?",Foot fracture,allam,qwen,True,qwen,allam,On the foot,Feet.,3,1,"Choice: 1
Confidence: 5",1,qwen,5,False,labeled,0.13
qwen,"Originating in early central American culture, where on the body would a huarache be worn?",Foot fracture,allam,qwen,True,qwen,allam,On the foot,Feet.,3,1,"Choice: 1
Confidence: 5",1,qwen,5,False,labeled,0.1
allam,"Originating in early central American culture, where on the body would a huarache be worn?",Foot fracture,allam,qwen,True,qwen,allam,On the foot,Feet.,3,1,"Choice: 1
Confidence: 4",1,qwen,4,False,labeled,0.27
llama,"Originating in early central American culture, where on the body would a huarache be worn?",Foot fracture,llama,qwen,True,qwen,llama,On the foot,On the foot.,3,3,"Choice: 1
Confidence: 5",1,qwen,5,False,labeled,0.13
qwen,"Originating in early central American culture, where on the body would a huarache be worn?",Foot fracture,llama,qwen,True,qwen,llama,On the foot,On the foot.,3,3,"Choice: 1
Confidence: 5",1,qwen,5,False,labeled,0.1
allam,"Originating in early central American culture, where on the body would a huarache be worn?",Foot fracture,llama,qwen,True,qwen,llama,On the foot,On the foot.,3,3,"Choice: 1
Confidence: 5",1,qwen,5,False,labeled,0.28
llama,If the states of the US are listed alphabetically which is the last that does NOT contain the letter O?,Demographics of West Virginia,allam,llama,True,llama,allam,South Dakota,Alaska,2,1,"Choice: 2
Confidence: 4",2,allam,4,False,labeled,0.13
qwen,If the states of the US are listed alphabetically which is the last that does NOT contain the letter O?,Demographics of West Virginia,allam,llama,True,llama,allam,South Dakota,Alaska,2,1,"Choice: 2
Confidence: 5",2,allam,5,False,labeled,0.14
allam,If the states of the US are listed alphabetically which is the last that does NOT contain the letter O?,Demographics of West Virginia,allam,llama,True,llama,allam,South Dakota,Alaska,2,1,"Choice: 1
Confidence: 4",1,llama,4,False,labeled,0.33
llama,If the states of the US are listed alphabetically which is the last that does NOT contain the letter O?,Demographics of West Virginia,allam,qwen,False,allam,qwen,Alaska,Wyoming,1,1,"Choice: 2
Confidence: 4",2,qwen,4,False,labeled,0.14
qwen,If the states of the US are listed alphabetically which is the last that does NOT contain the letter O?,Demographics of West Virginia,allam,qwen,False,allam,qwen,Alaska,Wyoming,1,1,"Choice: 1
Confidence: 5",1,allam,5,False,labeled,0.1
allam,If the states of the US are listed alphabetically which is the last that does NOT contain the letter O?,Demographics of West Virginia,allam,qwen,False,allam,qwen,Alaska,Wyoming,1,1,"Choice: 1
Confidence: 4",1,allam,4,False,labeled,0.36
llama,If the states of the US are listed alphabetically which is the last that does NOT contain the letter O?,Demographics of West Virginia,llama,qwen,False,llama,qwen,South Dakota,Wyoming,2,1,"Choice: 2
Confidence: 4",2,qwen,4,False,labeled,0.2
qwen,If the states of the US are listed alphabetically which is the last that does NOT contain the letter O?,Demographics of West Virginia,llama,qwen,False,llama,qwen,South Dakota,Wyoming,2,1,"Choice: 2
Confidence: 5",2,qwen,5,False,labeled,0.23
allam,If the states of the US are listed alphabetically which is the last that does NOT contain the letter O?,Demographics of West Virginia,llama,qwen,False,llama,qwen,South Dakota,Wyoming,2,1,"Choice: 1
Confidence: 4",1,llama,4,False,labeled,0.26
llama,"""In 1936, whose paper """"On Computable Numbers, with an Application to the Entscheidungsproblem"""" proved that a machine could perform any conceivable mathematical computation if it were able to be represented as an algorithm?""",Alan M. Turing,allam,llama,False,allam,llama,Alan Turing,Alan Turing.,2,2,"Choice: 1
Confidence: 5",1,allam,5,False,labeled,0.15
qwen,"""In 1936, whose paper """"On Computable Numbers, with an Application to the Entscheidungsproblem"""" proved that a machine could perform any conceivable mathematical computation if it were able to be represented as an algorithm?""",Alan M. Turing,allam,llama,False,allam,llama,Alan Turing,Alan Turing.,2,2,"Choice: 1
Confidence: 5",1,allam,5,False,labeled,0.11
allam,"""In 1936, whose paper """"On Computable Numbers, with an Application to the Entscheidungsproblem"""" proved that a machine could perform any conceivable mathematical computation if it were able to be represented as an algorithm?""",Alan M. Turing,allam,llama,False,allam,llama,Alan Turing,Alan Turing.,2,2,"Choice: 1
Confidence: 4",1,allam,4,False,labeled,0.27
llama,"""In 1936, whose paper """"On Computable Numbers, with an Application to the Entscheidungsproblem"""" proved that a machine could perform any conceivable mathematical computation if it were able to be represented as an algorithm?""",Alan M. Turing,allam,qwen,True,qwen,allam,Alan Turing,Alan Turing,2,2,"Choice: 1
Confidence: 5",1,qwen,5,False,labeled,0.15
qwen,"""In 1936, whose paper """"On Computable Numbers, with an Application to the Entscheidungsproblem"""" proved that a machine could perform any conceivable mathematical computation if it were able to be represented as an algorithm?""",Alan M. Turing,allam,qwen,True,qwen,allam,Alan Turing,Alan Turing,2,2,"Choice: 1
Confidence: 5",1,qwen,5,False,labeled,0.1
allam,"""In 1936, whose paper """"On Computable Numbers, with an Application to the Entscheidungsproblem"""" proved that a machine could perform any conceivable mathematical computation if it were able to be represented as an algorithm?""",Alan M. Turing,allam,qwen,True,qwen,allam,Alan Turing,Alan Turing,2,2,"Choice: 1
Confidence: 4",1,qwen,4,False,labeled,0.35
llama,"""In 1936, whose paper """"On Computable Numbers, with an Application to the Entscheidungsproblem"""" proved that a machine could perform any conceivable mathematical computation if it were able to be represented as an algorithm?""",Alan M. Turing,llama,qwen,False,llama,qwen,Alan Turing.,Alan Turing,2,2,"Choice: 1
Confidence: 5",1,llama,5,False,labeled,0.13
qwen,"""In 1936, whose paper """"On Computable Numbers, with an Application to the Entscheidungsproblem"""" proved that a machine could perform any conceivable mathematical computation if it were able to be represented as an algorithm?""",Alan M. Turing,llama,qwen,False,llama,qwen,Alan Turing.,Alan Turing,2,2,"Choice: 1
Confidence: 5",1,llama,5,False,labeled,0.09
allam,"""In 1936, whose paper """"On Computable Numbers, with an Application to the Entscheidungsproblem"""" proved that a machine could perform any conceivable mathematical computation if it were able to be represented as an algorithm?""",Alan M. Turing,llama,qwen,False,llama,qwen,Alan Turing.,Alan Turing,2,2,"Choice: 1
Confidence: 4",1,llama,4,False,labeled,0.34
llama,What is Chandler's surname in Friends,Bing.com,allam,llama,False,allam,llama,Bing,Bing.,1,1,"Choice: 1
Confidence: 5",1,allam,5,True,labeled,0.17
qwen,What is Chandler's surname in Friends,Bing.com,allam,llama,False,allam,llama,Bing,Bing.,1,1,"Choice: 1
Confidence: 5",1,allam,5,True,labeled,0.1
allam,What is Chandler's surname in Friends,Bing.com,allam,llama,False,allam,llama,Bing,Bing.,1,1,"Choice: 1
Confidence: 4",1,allam,4,True,labeled,0.27
llama,What is Chandler's surname in Friends,Bing.com,allam,qwen,False,allam,qwen,Bing,Bing,1,1,"Choice: Neither
Confidence: 5",NEITHER,NEITHER,5,,labeled,0.12
qwen,What is Chandler's surname in Friends,Bing.com,allam,qwen,False,allam,qwen,Bing,Bing,1,1,"Choice: 1
Confidence: 5",1,allam,5,True,labeled,0.4
allam,What is Chandler's surname in Friends,Bing.com,allam,qwen,False,allam,qwen,Bing,Bing,1,1,"Choice: 1
Confidence: 4",1,allam,4,True,labeled,0.28
llama,What is Chandler's surname in Friends,Bing.com,llama,qwen,True,qwen,llama,Bing,Bing.,1,1,"Choice: 1
Confidence: 5",1,qwen,5,True,labeled,0.41
qwen,What is Chandler's surname in Friends,Bing.com,llama,qwen,True,qwen,llama,Bing,Bing.,1,1,"Choice: 1
Confidence: 5",1,qwen,5,True,labeled,0.1
allam,What is Chandler's surname in Friends,Bing.com,llama,qwen,True,qwen,llama,Bing,Bing.,1,1,"Choice: 1
Confidence: 4",1,qwen,4,True,labeled,0.37
llama,Which cartoon character is mentioned in the single ‘Life on Mars’ by David Bowie?,Mickey Mouse Operation,allam,llama,True,llama,allam,Marsupilami.,Gomez Addams,1,2,"Choice: 1
Confidence: 5",1,llama,5,False,labeled,0.19
qwen,Which cartoon character is mentioned in the single ‘Life on Mars’ by David Bowie?,Mickey Mouse Operation,allam,llama,True,llama,allam,Marsupilami.,Gomez Addams,1,2,"Choice: 2
Confidence: 5",2,allam,5,False,labeled,0.11
allam,Which cartoon character is mentioned in the single ‘Life on Mars’ by David Bowie?,Mickey Mouse Operation,allam,llama,True,llama,allam,Marsupilami.,Gomez Addams,1,2,"Choice: 1
Confidence: 3",1,llama,3,False,labeled,0.31
llama,Which cartoon character is mentioned in the single ‘Life on Mars’ by David Bowie?,Mickey Mouse Operation,allam,qwen,True,qwen,allam,The Flintstones,Gomez Addams,2,2,"Choice: 1
Confidence: 4",1,qwen,4,False,labeled,0.13
qwen,Which cartoon character is mentioned in the single ‘Life on Mars’ by David Bowie?,Mickey Mouse Operation,allam,qwen,True,qwen,allam,The Flintstones,Gomez Addams,2,2,"Choice: 2
Confidence: 5",2,allam,5,False,labeled,0.1
allam,Which cartoon character is mentioned in the single ‘Life on Mars’ by David Bowie?,Mickey Mouse Operation,allam,qwen,True,qwen,allam,The Flintstones,Gomez Addams,2,2,"Choice: 1
Confidence: 3",1,qwen,3,False,labeled,0.29
llama,Which cartoon character is mentioned in the single ‘Life on Mars’ by David Bowie?,Mickey Mouse Operation,llama,qwen,False,llama,qwen,Marsupilami.,The Flintstones,1,2,"Choice: 2
Confidence: 5",2,qwen,5,False,labeled,0.26
qwen,Which cartoon character is mentioned in the single ‘Life on Mars’ by David Bowie?,Mickey Mouse Operation,llama,qwen,False,llama,qwen,Marsupilami.,The Flintstones,1,2,"Choice: 2
Confidence: 5",2,qwen,5,False,labeled,0.2
allam,Which cartoon character is mentioned in the single ‘Life on Mars’ by David Bowie?,Mickey Mouse Operation,llama,qwen,False,llama,qwen,Marsupilami.,The Flintstones,1,2,"Choice: 1
Confidence: 3",1,llama,3,False,labeled,0.28
llama,"In which city would you find the International Court of Justice, otherwise known as The World Court?",The hague,allam,llama,False,allam,llama,The Hague,The Hague.,2,2,"Choice: 1
Confidence: 5",1,allam,5,True,labeled,0.14
qwen,"In which city would you find the International Court of Justice, otherwise known as The World Court?",The hague,allam,llama,False,allam,llama,The Hague,The Hague.,2,2,"Choice: 1
Confidence: 5",1,allam,5,True,labeled,0.1
allam,"In which city would you find the International Court of Justice, otherwise known as The World Court?",The hague,allam,llama,False,allam,llama,The Hague,The Hague.,2,2,"Choice: 1
Confidence: 5",1,allam,5,True,labeled,0.3
